gcl_sequence_id	pire_sequence_id	extraction_id	correction_applied	correction_id	correction_details	correction_date
SdA0100101AWGSU	Sde-AMat_001-Ex1-1A-WGS-1-Untreated	Sde-AMat_001-Ex1	FALSE			
SdA0100101HWGSZ	Sde-AMat_001_Ex1-1H-WGS-2-Zymo	Sde-AMat_001-Ex1	FALSE			
SdA0100201BWGSU	Sde-AMat_002-Ex1-1B-WGS-1-Untreated	Sde-AMat_002-Ex1	FALSE			
SdA0100201GWGSZ	Sde-AMat_002_Ex1-1G-WGS-2-Zymo	Sde-AMat_002-Ex1	FALSE			
SdA0100301FWGSZ	Sde-AMat_003_Ex1-1F-WGS-2-Zymo	Sde-AMat_003-Ex1	FALSE			
SdA0100401EWGSZ	Sde-AMat_004_Ex1-1E-WGS-1-Zymo	Sde-AMat_004-Ex1	FALSE			
SdA0100501DWGSU	Sde-AMat_005-Ex1-1D-WGS-1-Untreated	Sde-AMat_005-Ex1	FALSE			
SdA0100501DWGSZ	Sde-AMat_005_Ex1-1D-WGS-2-Zymo	Sde-AMat_005-Ex1	FALSE			
SdA0100601CWGSZ	Sde-AMat_006_Ex1-1C-WGS-2-Zymo	Sde-AMat_006-Ex1	FALSE			
SdA0100701BWGSZ	Sde-AMat_007_Ex1-1B-WGS-2-Zymo	Sde-AMat_007-Ex1	FALSE			
SdA0100801AWGSZ	Sde-AMat_008_Ex1-1A-WGS-2-Zymo	Sde-AMat_008-Ex1	FALSE			
SdA0100902HWGSZ	Sde-AMat_009_Ex1-2H-WGS-2-Zymo	Sde-AMat_009-Ex1	FALSE			
SdA0101002GWGSZ	Sde-AMat_010_Ex1-2G-WGS-2-Zymo	Sde-AMat_010-Ex1	FALSE			
SdA0101102BWGSU	Sde-AMat_011-Ex1-2B-WGS-1-Untreated	Sde-AMat_011-Ex1	FALSE			
SdA0101102FWGSZ	Sde-AMat_011_Ex1-2F-WGS-2-Zymo	Sde-AMat_011-Ex1	FALSE			
SdA0101202EWGSZ	Sde-AMat_012_Ex1-2E-WGS-2-Zymo	Sde-AMat_012-Ex1	FALSE			
SdA0101302DWGSZ	Sde-AMat_013_Ex1-2D-WGS-2-Zymo	Sde-AMat_013-Ex1	FALSE			
