extraction_id	file_prefix	hpc_path	hpc_name	sequencing_type	duplicated_sequence_pair	file_forward	file_reverse
Pba-CVer_085-Ex1	Pba-CVer_085-Ex1-10G-lcwgs_L8	/archive/carpenterlab/pire/pire_pomacentrus_brachialis_lcwgs/2nd_sequencing_run/fq_raw	wahab	lcwgs	NA	Pba-CVer_085-Ex1-10G-lcwgs_L8_1.fq.gz	Pba-CVer_085-Ex1-10G-lcwgs_L8_2.fq.gz
Cvi-CPal_017-Ex1	Cvi-CPal_017-Ex1-3A-lcwgs-1-2	/archive/carpenterlab/pire/pire_chromis_viridis_lcwgs/2nd_sequencing_run/fq_raw	wahab	lcwgs	file_pair.17	Cvi-CPal_017-Ex1-3A-lcwgs-1-2.1.fq.gz	Cvi-CPal_017-Ex1-3A-lcwgs-1-2.2.fq.gz
Cvi-CPal_017-Ex1	Cvi-CPal_017-Ex1-3A-lcwgs-1-2	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/chromis_viridis/2nd_sequencing_run/fq_raw	wahab	lcwgs	file_pair.17	Cvi-CPal_017-Ex1-3A-lcwgs-1-2.1.fq.gz	Cvi-CPal_017-Ex1-3A-lcwgs-1-2.2.fq.gz
Pba-ATat_006-Ex1	Pba-ATat_006-Ex1-2F-lcwgs_L2	/archive/carpenterlab/pire/pire_pomacentrus_brachialis_lcwgs/2nd_sequencing_run/fq_raw	wahab	lcwgs	NA	Pba-ATat_006-Ex1-2F-lcwgs_L2_1.fq.gz	Pba-ATat_006-Ex1-2F-lcwgs_L2_2.fq.gz
Tzo-CMta_062-Ex1	Tzo_CMta_062_Ex1_4F_lcwgs_1_2_L3	/archive/carpenterlab/pire/pire_taeniamia_zosterophora_lcwgs/2nd_sequencing_run/fq_raw/CMta	wahab	lcwgs	NA	Tzo_CMta_062_Ex1_4F_lcwgs_1_2_L3-1.fq.gz	Tzo_CMta_062_Ex1_4F_lcwgs_1_2_L3-2.fq.gz
Adu-CTag_075-Ex1	Adu-CTag_075-Ex1-11H-lcwgs-1-1	/archive/carpenterlab/pire/pire_atherinomorus_duodecimalis_lcwgs/1st_sequencing_run/fq_raw	wahab	lcwgs	NA	Adu-CTag_075-Ex1-11H-lcwgs-1-1.1.fq.gz	Adu-CTag_075-Ex1-11H-lcwgs-1-1.2.fq.gz
Gmi-AHam_040-Ex1	Gmi-AHam_040-Ex1-cssl	/RC/group/rc_carpenterlab_ngs/shotgun_PIRE/pire_cssl_data_processing/gazza_minuta/2nd_sequencing_run/raw_fq_capture	wahab	cssl	NA	Gmi-AHam_040-Ex1-cssl.1.fq.gz	Gmi-AHam_040-Ex1-cssl.2.fq.gz
Och-CTum_010-Ex1	OcC0801006B_CKDL230029730-1A_HJLFCCCX2_L3	/archive/carpenterlab/pire/pire_ostorhinchus_chrysopomus_lcwgs/1st_sequencing_run/fq_raw	wahab	lcwgs	file_pair.24	OcC0801006B_CKDL230029730-1A_HJLFCCCX2_L3_1.fq.gz	OcC0801006B_CKDL230029730-1A_HJLFCCCX2_L3_2.fq.gz
Och-CTum_010-Ex1	Och-CTum_010-Ex1-6B-lcwgs-1-1	/archive/carpenterlab/pire/pire_ostorhinchus_chrysopomus_lcwgs/2nd_sequencing_run/fq_raw	wahab	lcwgs	file_pair.24	Och-CTum_010-Ex1-6B-lcwgs-1-1.1.fq.gz	Och-CTum_010-Ex1-6B-lcwgs-1-1.2.fq.gz
Pba-AMar_009-Ex1	Pba-AMar_009-Ex1-4F-lcwgs_L2	/archive/carpenterlab/pire/pire_pomacentrus_brachialis_lcwgs/2nd_sequencing_run/fq_raw	wahab	lcwgs	NA	Pba-AMar_009-Ex1-4F-lcwgs_L2_1.fq.gz	Pba-AMar_009-Ex1-4F-lcwgs_L2_2.fq.gz
