extraction_id	file_prefix	hpc_path	hpc_name	sequencing_type	duplicated_sequence_pair	file_forward	file_reverse	correction_applied	correction_id	correction_details	correction_date
Sde-AGui_014-Ex1	SdA0701402FWGSZ_WKDL260008953-1A_237VHMLT4_L4	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0701402FWGSZ_WKDL260008953-1A_237VHMLT4_L4_1.fq.gz	SdA0701402FWGSZ_WKDL260008953-1A_237VHMLT4_L4_2.fq.gz	FALSE			
Sde-AGui_014-Ex1	SdA0701402FWGSZ_WKDL260008953-1A_237VHMLT4_L5	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0701402FWGSZ_WKDL260008953-1A_237VHMLT4_L5_1.fq.gz	SdA0701402FWGSZ_WKDL260008953-1A_237VHMLT4_L5_2.fq.gz	FALSE			
Sde-AGui_015-Ex1	SdA0701502GWGSZ_WKDL260008953-1A_237VHMLT4_L4	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0701502GWGSZ_WKDL260008953-1A_237VHMLT4_L4_1.fq.gz	SdA0701502GWGSZ_WKDL260008953-1A_237VHMLT4_L4_2.fq.gz	FALSE			
Sde-AGui_015-Ex1	SdA0701502GWGSZ_WKDL260008953-1A_237VHMLT4_L5	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0701502GWGSZ_WKDL260008953-1A_237VHMLT4_L5_1.fq.gz	SdA0701502GWGSZ_WKDL260008953-1A_237VHMLT4_L5_2.fq.gz	FALSE			
Sde-AGui_016-Ex1	SdA0701602HWGSZ_WKDL260008953-1A_237VHMLT4_L4	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0701602HWGSZ_WKDL260008953-1A_237VHMLT4_L4_1.fq.gz	SdA0701602HWGSZ_WKDL260008953-1A_237VHMLT4_L4_2.fq.gz	FALSE			
Sde-AGui_016-Ex1	SdA0701602HWGSZ_WKDL260008953-1A_237VHMLT4_L5	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0701602HWGSZ_WKDL260008953-1A_237VHMLT4_L5_1.fq.gz	SdA0701602HWGSZ_WKDL260008953-1A_237VHMLT4_L5_2.fq.gz	FALSE			
Sde-AGui_017-Ex1	SdA0701703AWGSZ_WKDL260008953-1A_237VHMLT4_L4	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0701703AWGSZ_WKDL260008953-1A_237VHMLT4_L4_1.fq.gz	SdA0701703AWGSZ_WKDL260008953-1A_237VHMLT4_L4_2.fq.gz	FALSE			
Sde-AGui_017-Ex1	SdA0701703AWGSZ_WKDL260008953-1A_237VHMLT4_L5	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0701703AWGSZ_WKDL260008953-1A_237VHMLT4_L5_1.fq.gz	SdA0701703AWGSZ_WKDL260008953-1A_237VHMLT4_L5_2.fq.gz	FALSE			
Sde-AGui_018-Ex1	SdA0701803BWGSZ_WKDL260008953-1A_237VHMLT4_L4	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0701803BWGSZ_WKDL260008953-1A_237VHMLT4_L4_1.fq.gz	SdA0701803BWGSZ_WKDL260008953-1A_237VHMLT4_L4_2.fq.gz	FALSE			
Sde-AGui_018-Ex1	SdA0701803BWGSZ_WKDL260008953-1A_237VHMLT4_L5	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0701803BWGSZ_WKDL260008953-1A_237VHMLT4_L5_1.fq.gz	SdA0701803BWGSZ_WKDL260008953-1A_237VHMLT4_L5_2.fq.gz	FALSE			
Sde-AGui_019-Ex1	SdA0701903CWGSZ_WKDL260008953-1A_237VHMLT4_L4	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0701903CWGSZ_WKDL260008953-1A_237VHMLT4_L4_1.fq.gz	SdA0701903CWGSZ_WKDL260008953-1A_237VHMLT4_L4_2.fq.gz	FALSE			
Sde-AGui_019-Ex1	SdA0701903CWGSZ_WKDL260008953-1A_237VHMLT4_L5	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0701903CWGSZ_WKDL260008953-1A_237VHMLT4_L5_1.fq.gz	SdA0701903CWGSZ_WKDL260008953-1A_237VHMLT4_L5_2.fq.gz	FALSE			
Sde-AGui_020-Ex1	SdA0702003DWGSZ_WKDL260008953-1A_237VHMLT4_L4	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0702003DWGSZ_WKDL260008953-1A_237VHMLT4_L4_1.fq.gz	SdA0702003DWGSZ_WKDL260008953-1A_237VHMLT4_L4_2.fq.gz	FALSE			
Sde-AGui_020-Ex1	SdA0702003DWGSZ_WKDL260008953-1A_237VHMLT4_L5	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0702003DWGSZ_WKDL260008953-1A_237VHMLT4_L5_1.fq.gz	SdA0702003DWGSZ_WKDL260008953-1A_237VHMLT4_L5_2.fq.gz	FALSE			
Sde-AGui_021-Ex1	SdA0702103EWGSZ_WKDL260008953-1A_237VHMLT4_L4	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0702103EWGSZ_WKDL260008953-1A_237VHMLT4_L4_1.fq.gz	SdA0702103EWGSZ_WKDL260008953-1A_237VHMLT4_L4_2.fq.gz	FALSE			
Sde-AGui_021-Ex1	SdA0702103EWGSZ_WKDL260008953-1A_237VHMLT4_L5	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0702103EWGSZ_WKDL260008953-1A_237VHMLT4_L5_1.fq.gz	SdA0702103EWGSZ_WKDL260008953-1A_237VHMLT4_L5_2.fq.gz	FALSE			
Sde-AGui_022-Ex1	SdA0702203FWGSZ_WKDL260008953-1A_237VHMLT4_L4	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0702203FWGSZ_WKDL260008953-1A_237VHMLT4_L4_1.fq.gz	SdA0702203FWGSZ_WKDL260008953-1A_237VHMLT4_L4_2.fq.gz	FALSE			
Sde-AGui_022-Ex1	SdA0702203FWGSZ_WKDL260008953-1A_237VHMLT4_L5	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0702203FWGSZ_WKDL260008953-1A_237VHMLT4_L5_1.fq.gz	SdA0702203FWGSZ_WKDL260008953-1A_237VHMLT4_L5_2.fq.gz	FALSE			
