individual_id	tissue_id	tissue_type	notes	correction_applied	correction_id	correction_details	correction_date
Sde-CPla_003	Sde-C-0310-E	muscle		FALSE			
Sde-CBau_005	Sde-C-0210-E	muscle		FALSE			
Sde-CLim_007	Sde-C-0425-E	muscle		FALSE			
Sde-CBau_008	Sde-C-0213-E	muscle		FALSE			
Sde-CPla_009	Sde-C-0316-E	muscle		FALSE			
Sde-CBau_011	Sde-C-0216-E	muscle		FALSE			
Sde-CLim_014	Sde-C-0432-E	muscle		FALSE			
Sde-CLim_015	Sde-C-0433-E	muscle		FALSE			
Sde-CPla_016	Sde-C-0323-E	muscle		FALSE			
Sde-CPla_017	Sde-C-0324-E	muscle		FALSE			
Sde-CBau_017	Sde-C-0222-E	muscle		FALSE			
Sde-CLim_017	Sde-C-0435-E	muscle		FALSE			
Sde-CBau_019	Sde-C-0224-E	muscle		FALSE			
Sde-CLim_020	Sde-C-0438-E	muscle		FALSE			
Sde-CPla_020	Sde-C-0327-E	muscle		FALSE			
Sde-CBau_022	Sde-C-0227-E	muscle		FALSE			
Sde-CPla_023	Sde-C-0330-E	muscle		FALSE			
Sde-CBau_023	Sde-C-0228-E	muscle		FALSE			
Sde-CBau_024	Sde-C-0229-E	muscle		FALSE			
Sde-CPla_025	Sde-C-0332-E	muscle		FALSE			
Sde-CLim_028	Sde-C-0446-E	muscle		FALSE			
Sde-CPla_029	Sde-C-0336-E	muscle		FALSE			
Sde-CBau_029	Sde-C-0234-E	muscle		FALSE			
Sde-CLim_030	Sde-C-0448-E	muscle		FALSE			
Sde-CPla_031	Sde-C-0338-E	muscle		FALSE			
Sde-CPla_033	Sde-C-0340-E	muscle		FALSE			
Sde-CBau_033	Sde-C-0238-E	muscle		FALSE			
Sde-CBau_034	Sde-C-0239-E	muscle		FALSE			
Sde-CBau_035	Sde-C-0240-E	muscle		FALSE			
Sde-CPla_036	Sde-C-0343-E	muscle		FALSE			
Sde-CLim_037	Sde-C-0455-E	muscle		FALSE			
Sde-CPla_037	Sde-C-0344-E	muscle		FALSE			
Sde-CBau_039	Sde-C-0244-E	muscle		FALSE			
Sde-CPla_040	Sde-C-0347-E	muscle		FALSE			
Sde-CLim_042	Sde-C-0460-E	muscle		FALSE			
Sde-CBau_043	Sde-C-0248-E	muscle		FALSE			
Sde-CPla_045	Sde-C-0352-E	muscle		FALSE			
Sde-CLim_045	Sde-C-0463-E	muscle		FALSE			
Sde-CBau_046	Sde-C-0251-E	muscle		FALSE			
Sde-CPla_047	Sde-C-0354-E	muscle		FALSE			
Sde-CLim_048	Sde-C-0466-E	muscle		FALSE			
Sde-CBau_049	Sde-C-0254-E	muscle		FALSE			
Sde-CLim_050	Sde-C-0468-E	muscle		FALSE			
Sde-CBau_050	Sde-C-0255-E	muscle		FALSE			
Sde-CPla_051	Sde-C-0358-E	muscle		FALSE			
Sde-CBau_051	Sde-C-0256-E	muscle		FALSE			
Sde-CLim_052	Sde-C-0470-E	muscle		FALSE			
Sde-CLim_053	Sde-C-0471-E	muscle		FALSE			
Sde-CBau_054	Sde-C-0259-E	muscle		FALSE			
Sde-CBau_055	Sde-C-0260-E	muscle		FALSE			
Sde-CLim_055	Sde-C-0473-E	muscle		FALSE			
Sde-CLim_056	Sde-C-0474-E	muscle		FALSE			
Sde-CLim_058	Sde-C-0476-E	muscle		FALSE			
Sde-CBau_059	Sde-C-0264-E	muscle		FALSE			
Sde-CLim_062	Sde-C-0480-E	muscle		FALSE			
Sde-CBau_062	Sde-C-0267-E	muscle		FALSE			
Sde-CBau_063	Sde-C-0268-E	muscle		FALSE			
Sde-CPla_063	Sde-C-0370-E	muscle		FALSE			
Sde-CBau_065	Sde-C-0270-E	muscle		FALSE			
Sde-CPla_067	Sde-C-0374-E	muscle		FALSE			
Sde-CBau_068	Sde-C-0273-E	muscle		FALSE			
Sde-CLim_068	Sde-C-0486-E	muscle		FALSE			
Sde-CLim_070	Sde-C-0488-E	muscle		FALSE			
Sde-CPla_071	Sde-C-0378-E	muscle		FALSE			
Sde-CBau_071	Sde-C-0276-E	muscle		FALSE			
Sde-CPla_074	Sde-C-0381-E	muscle		FALSE			
Sde-CLim_074	Sde-C-0492-E	muscle		FALSE			
Sde-CLim_075	Sde-C-0493-E	muscle		FALSE			
Sde-CBau_076	Sde-C-0281-E	muscle		FALSE			
Sde-CBau_077	Sde-C-0282-E	muscle		FALSE			
Sde-CLim_077	Sde-C-0495-E	muscle		FALSE			
Sde-CPla_079	Sde-C-0386-E	muscle		FALSE			
Sde-CPla_081	Sde-C-0388-E	muscle		FALSE			
Sde-CBau_081	Sde-C-0286-E	muscle		FALSE			
Sde-CLim_082	Sde-C-0500-E	muscle		FALSE			
Sde-CLim_085	Sde-C-1028-E	muscle		FALSE			
Sde-CBau_085	Sde-C-0290-E	muscle		FALSE			
Sde-CPla_086	Sde-C-0393-E	muscle		FALSE			
Sde-CLim_088	Sde-C-1031-E	muscle		FALSE			
Sde-CPla_088	Sde-C-0395-E	muscle		FALSE			
Sde-CPla_090	Sde-C-0397-E	muscle		FALSE			
Sde-CBau_091	Sde-C-0296-E	muscle		FALSE			
Sde-CPla_091	Sde-C-0398-E	muscle		FALSE			
Sde-CLim_091	Sde-C-1034-E	muscle		FALSE			
Sde-CLim_092	Sde-C-1035-E	muscle		FALSE			
Sde-CPla_093	Sde-C-0400-E	muscle		FALSE			
Sde-CPla_094	Sde-C-0401-E	muscle		FALSE			
Sde-CBau_095	Sde-C-0300-E	muscle		FALSE			
Sde-CLim_096	Sde-C-1039-E	muscle		FALSE			
Sde-CPla_096	Sde-C-0403-E	muscle		FALSE			
Sde-CLim_097	Sde-C-1040-E	muscle		FALSE			
Sde-CPla_100	Sde-C-0407-E	muscle		FALSE			
Sde-CLim_101	Sde-C-1044-E	muscle		FALSE			
Sde-CLim_102	Sde-C-1045-E	muscle		FALSE			
Sde-CPla_103	Sde-C-0410-E	muscle		FALSE			
Sde-CPla_107	Sde-C-0414-E	muscle		FALSE			
Sde-CBau_002	Sde-C-0207-E	muscle		FALSE			
Sde-CLim_002	Sde-C-0420-E	muscle		FALSE			
Sde-CLim_004	Sde-C-0422-E	muscle		FALSE			
Sde-CBau_006	Sde-C-0211-E	muscle		FALSE			
Sde-CLim_006	Sde-C-0424-E	muscle		FALSE			
Sde-CLim_010	Sde-C-0428-E	muscle		FALSE			
Sde-CBau_010	Sde-C-0215-E	muscle		FALSE			
Sde-CPla_012	Sde-C-0319-E	muscle		FALSE			
Sde-CBau_012	Sde-C-0217-E	muscle		FALSE			
Sde-CBau_013	Sde-C-0218-E	muscle		FALSE			
Sde-CLim_013	Sde-C-0431-E	muscle		FALSE			
Sde-CBau_014	Sde-C-0219-E	muscle		FALSE			
Sde-CBau_016	Sde-C-0221-E	muscle		FALSE			
Sde-CLim_018	Sde-C-0436-E	muscle		FALSE			
Sde-CLim_019	Sde-C-0437-E	muscle		FALSE			
Sde-CLim_021	Sde-C-0439-E	muscle		FALSE			
Sde-CPla_021	Sde-C-0328-E	muscle		FALSE			
Sde-CBau_021	Sde-C-0226-E	muscle		FALSE			
Sde-CLim_023	Sde-C-0441-E	muscle		FALSE			
Sde-CBau_025	Sde-C-0230-E	muscle		FALSE			
Sde-CLim_026	Sde-C-0444-E	muscle		FALSE			
Sde-CBau_026	Sde-C-0231-E	muscle		FALSE			
Sde-CPla_026	Sde-C-0333-E	muscle		FALSE			
Sde-CPla_027	Sde-C-0334-E	muscle		FALSE			
Sde-CBau_028	Sde-C-0233-E	muscle		FALSE			
Sde-CPla_030	Sde-C-0337-E	muscle		FALSE			
Sde-CBau_031	Sde-C-0236-E	muscle		FALSE			
Sde-CLim_032	Sde-C-0450-E	muscle		FALSE			
Sde-CBau_032	Sde-C-0237-E	muscle		FALSE			
Sde-CLim_034	Sde-C-0452-E	muscle		FALSE			
Sde-CBau_036	Sde-C-0241-E	muscle		FALSE			
Sde-CBau_037	Sde-C-0242-E	muscle		FALSE			
Sde-CPla_038	Sde-C-0345-E	muscle		FALSE			
Sde-CPla_039	Sde-C-0346-E	muscle		FALSE			
Sde-CBau_040	Sde-C-0245-E	muscle		FALSE			
Sde-CBau_041	Sde-C-0246-E	muscle		FALSE			
Sde-CLim_041	Sde-C-0459-E	muscle		FALSE			
Sde-CPla_043	Sde-C-0350-E	muscle		FALSE			
Sde-CPla_046	Sde-C-0353-E	muscle		FALSE			
Sde-CLim_046	Sde-C-0464-E	muscle		FALSE			
Sde-CBau_048	Sde-C-0253-E	muscle		FALSE			
Sde-CPla_048	Sde-C-0355-E	muscle		FALSE			
Sde-CLim_049	Sde-C-0467-E	muscle		FALSE			
Sde-CPla_049	Sde-C-0356-E	muscle	sample extracted twice; other extraction in 7E	FALSE			
Sde-CPla_050	Sde-C-0357-E	muscle		FALSE			
Sde-CPla_052	Sde-C-0359-E	muscle		FALSE			
Sde-CPla_054	Sde-C-0361-E	muscle		FALSE			
Sde-CPla_055	Sde-C-0362-E	muscle		FALSE			
Sde-CBau_056	Sde-C-0261-E	muscle		FALSE			
Sde-CBau_057	Sde-C-0262-E	muscle		FALSE			
Sde-CPla_058	Sde-C-0365-E	muscle		FALSE			
Sde-CPla_059	Sde-C-0366-E	muscle	Skin lost from piece that muscle was extracted from; another piece with muscle intact still in tube	FALSE			
Sde-CLim_059	Sde-C-0477-E	muscle		FALSE			
Sde-CLim_060	Sde-C-0478-E	muscle		FALSE			
Sde-CPla_062	Sde-C-0369-E	muscle		FALSE			
Sde-CLim_064	Sde-C-0482-E	muscle		FALSE			
Sde-CPla_064	Sde-C-0371-E	muscle		FALSE			
Sde-CBau_067	Sde-C-0272-E	muscle		FALSE			
Sde-CPla_069	Sde-C-0376-E	muscle		FALSE			
Sde-CBau_070	Sde-C-0275-E	muscle		FALSE			
Sde-CLim_072	Sde-C-0490-E	muscle		FALSE			
Sde-CPla_073	Sde-C-0380-E	muscle		FALSE			
Sde-CBau_074	Sde-C-0279-E	muscle		FALSE			
Sde-CBau_075	Sde-C-0280-E	muscle		FALSE			
Sde-CPla_076	Sde-C-0383-E	muscle		FALSE			
Sde-CLim_076	Sde-C-0494-E	muscle		FALSE			
Sde-CPla_078	Sde-C-0385-E	muscle		FALSE			
Sde-CLim_078	Sde-C-0496-E	muscle		FALSE			
Sde-CBau_079	Sde-C-0284-E	muscle		FALSE			
Sde-CLim_079	Sde-C-0497-E	muscle		FALSE			
Sde-CLim_080	Sde-C-0498-E	muscle		FALSE			
Sde-CLim_081	Sde-C-0499-E	muscle		FALSE			
Sde-CPla_082	Sde-C-0389-E	muscle		FALSE			
Sde-CBau_083	Sde-C-0288-E	muscle		FALSE			
Sde-CPla_084	Sde-C-0391-E	muscle		FALSE			
Sde-CLim_087	Sde-C-1030-E	muscle		FALSE			
Sde-CPla_089	Sde-C-0396-E	muscle		FALSE			
Sde-CBau_090	Sde-C-0295-E	muscle		FALSE			
Sde-CPla_092	Sde-C-0399-E	muscle		FALSE			
Sde-CLim_093	Sde-C-1036-E	muscle		FALSE			
Sde-CLim_094	Sde-C-1037-E	muscle		FALSE			
Sde-CBau_094	Sde-C-0299-E	muscle		FALSE			
Sde-CBau_096	Sde-C-0301-E	muscle		FALSE			
Sde-CPla_097	Sde-C-0404-E	muscle		FALSE			
Sde-CLim_098	Sde-C-1041-E	muscle		FALSE			
Sde-CBau_098	Sde-C-0303-E	muscle		FALSE			
Sde-CLim_099	Sde-C-1042-E	muscle		FALSE			
Sde-CLim_100	Sde-C-1043-E	muscle		FALSE			
Sde-CPla_101	Sde-C-0408-E	muscle		FALSE			
