lot_id	collection_year_start	collection_month_start	collection_day_start	collection_year_end	collection_month_end	collection_day_end	date_collected	collection_era	collector	species_verified	physical_location_of_lot	check_location?	freezer_location	box_id	bottles	storage_solution	type_of_study	odu_collection_catalog_number	individuals	size-usnm_(mm)	size_direct_observation_(mm)	taxonomic_notes	collection_site	site_id	match_id	latitude	longitude	lot_status	priority	project_owner	notes	collection_status	duplicate_count	correction_applied	correction_id	correction_details	correction_date
TLK-2024-08_01	2024	8	18	2024	8	22	8/20/2024	Contemporary	Nadia_Absesamis|Kevin_Labrador	Kent_Carpenter	TAMUCC	Y	TH150			Absolute EtOH	PIRE		100		40-70	Spratelloides_delicatulus	Taluksangay	Tlk	Sac	6.953627	122.183942	DNA extracted		Chris_Bird	queued for otolith extraction at Silliman University	DNA extracted		FALSE			
MAT-2024-05_01	2024	9	5	2024	9	7	9/5/2024	Contemporary	Kent_Carpenter|Myron_Baring|Kevin_Labrador	Kent_Carpenter	TAMUCC	Y	TH150			Absolute EtOH	PIRE		105		20-40	Spratelloides_delicatulus	Matnog_Bay	Mat	MatB	12.586108	124.087275	DNA extracted		Chris_Bird	queued for otolith extraction at Silliman University	DNA extracted		FALSE			
