Accession	Title	Links	Status	Release Date	Created	Updated	Submission
PRJNA1466996	Ambassis_buruensis_2021_Getafe_Bohol_ssl	"BioSample: 3, SRA: 3"	ToBeReleased	10/31/29	2026-05-15T20:42:12.923Z	2026-06-21T06:52:43.083Z	SUB16191521
PRJNA1467722	Chromis_viridis_2022_Biri_NorthernSamar_ssl	"SRA: 3, BioSample: 3"	ToBeReleased	10/31/29	2026-05-18T19:54:34.913Z	2026-06-21T06:44:30.310Z	SUB16196409
PRJNA1467724	Dascyllus_aruanus_2021_Jolo_Sulu_ssl	"BioSample: 3, SRA: 3"	ToBeReleased	10/31/29	2026-05-18T19:56:02.330Z	2026-06-21T06:44:28.910Z	SUB16196443
PRJNA1467735	Corythoichthys_haematopterus_2021_Getafe_Bohol_ssl	"BioSample: 3, SRA: 3"	ToBeReleased	10/31/29	2026-05-18T20:48:57.610Z	2026-06-21T06:44:21.100Z	SUB16196249
PRJNA1467760	Encrasicholina_pseudoheteroloba_2018_Bais_NegrosOriental_ssl	"BioSample: 3, SRA: 3"	ToBeReleased	10/31/29	2026-05-18T23:55:52.803Z	2026-06-21T06:44:03.477Z	SUB16196514
PRJNA1467761	Equulites_laterofenestra_2018_Nasugbu_Batangas_ssl	BioSample: 9	ToBeReleased	10/31/29	2026-05-18T23:55:57.960Z	2026-06-21T06:44:02.770Z	SUB16196494
PRJNA1473933	Siganus_spinus_1909_PrietoDiaz_Sorsogon_cssl	"SRA: 86, BioSample: 86"	ToBeReleased	10/31/29	2026-06-02T17:47:42.070Z	2026-06-21T05:34:53.927Z	SUB16229172
PRJNA1474092	Ostorhinchus_chrysopomus_2022_SanPascual_Masbate_lcwgs	"BioSample: 112, SRA: 112"	ToBeReleased	10/31/29	2026-06-03T00:27:11.920Z	2026-06-21T05:32:52.603Z	SUB16229249
PRJNA1474093	Siganus_spinus_2017_Albay_Albay_cssl	"SRA: 55, BioSample: 55"	ToBeReleased	10/31/29	2026-06-03T00:29:23.650Z	2026-06-21T05:32:51.860Z	SUB16229184
PRJNA1477952	Ostorhinchus_chrysopomus_2021_Sitangkai_Tawi-tawi_lcwgs	"SRA: 98, BioSample: 99"	ToBeReleased	10/31/29	2026-06-12T16:33:47.947Z	2026-06-21T04:44:11.100Z	SUB16246320
PRJNA1477954	Ostorhinchus_chrysopomus_1908_Sitangkai_Tawi-tawi_lcwgs	"BioSample: 74, SRA: 73"	ToBeReleased	10/31/29	2026-06-12T16:36:42.170Z	2026-06-21T04:44:09.650Z	SUB16246317
