Accession	Title	Links	Status	Release Date	Created	Updated	Submission
PRJNA1338349	Corythoichthys_haematopterus_1908_CebuCity_Cebu_lcwgs	BioSample: 21, SRA: 35	ToBeReleased	2029-10-06	2025-10-07T06:32:00.553Z	2026-04-27T00:30:17.250Z	SUB15688096
PRJNA1338510	Corythoichthys_haematopterus_2021_Getafe_Bohol_lcwgs	BioSample: 160, SRA: 272	ToBeReleased	2029-10-06	2025-10-08T00:19:11.387Z	2026-04-27T00:29:13.700Z	SUB15689150
PRJNA1338567	Corythoichthys_haematopterus_1909_Getafe_Bohol_lcwgs	BioSample: 99, SRA: 165	ToBeReleased	2029-10-06	2025-10-08T02:53:39.850Z	2026-04-27T00:29:06.007Z	SUB15689149
PRJNA1336322	Ambassis_buruensis_1909_CebuCity_Cebu_lcwgs	BioSample: 103, SRA: 103	ToBeReleased	2029-09-26	2025-09-29T23:17:05.217Z	2026-04-20T00:29:28.130Z	SUB15671261
PRJNA1336836	Ambassis_buruensis_2021_Getafe_Bohol_lcwgs	BioSample: 112, SRA: 112	ToBeReleased	2029-09-29	2025-09-30T21:11:57.410Z	2026-04-20T00:24:40.070Z	SUB15676108
PRJNA1312869	Siganus_fuscescens_1908_BaisBay_NegrosOriental_lcwgs	BioSample: 8, SRA: 8	ToBeReleased	2029-08-29	2025-08-29T20:20:01.297Z	2026-03-01T23:57:12.683Z	SUB15579475
PRJNA1311639	Pseudanthias_squamipinnis_1908_PuertoGalera_OrientalMindoro_lcwgs	BioSample: 23, SRA: 23	ToBeReleased	2029-08-27	2025-08-28T01:37:43.227Z	2026-02-16T00:19:15.723Z	SUB15572547
PRJNA1312039	Pseudanthias_squamipinnis_1909_PuertoGalera_OrientalMindoro_lcwgs	BioSample: 112, SRA: 112	ToBeReleased	2029-08-27	2025-08-28T15:43:06.503Z	2026-02-16T00:15:55.083Z	SUB15573157
PRJNA1312072	Pseudanthias_squamipinnis_2022_VerdeIsland_Batangas_lcwgs	BioSample: 112, SRA: 112	ToBeReleased	2029-08-28	2025-08-28T17:31:46.467Z	2026-02-16T00:15:34.273Z	SUB15575038
