Accession	Title	Links	Status	Release Date	Created	Updated	Submission
PRJNA1313319	Chromis_viridis_2022_Biri_NorthernSamar_lcwgs	BioSample: 112, SRA: 112	ToBeReleased	2028-01-01	2025-08-31T18:23:59.100Z	2026-03-01T23:54:17.813Z	SUB15580881
PRJNA1313343	Chromis_viridis_1909_BatagIsland_NorthernSamar_lcwgs	BioSample: 80	ToBeReleased	2028-01-01	2025-08-31T19:44:00.793Z	2026-03-01T23:54:03.397Z	SUB15580880
PRJNA1307040	Sphaeramia_nematoptera_2019_Bongao_TawiTawi_lcwgs	SRA: 15, BioSample: 15	ToBeReleased	2028-01-01	2025-08-17T04:01:41.130Z	2026-02-16T01:00:36.440Z	SUB15544714
PRJNA1307041	Sphaeramia_nematoptera_2022_Romblon_Romblon_lcwgs	BioSample: 112, SRA: 112	ToBeReleased	2028-01-01	2025-08-17T04:04:04.620Z	2026-02-16T01:00:35.800Z	SUB15544725
PRJNA1307042	Sphaeramia_nematoptera_2021_Bongao_TawiTawi_lcwgs	BioSample: 41, SRA: 41	ToBeReleased	2028-01-01	2025-08-17T04:06:30.507Z	2026-02-16T01:00:35.167Z	SUB15544724
PRJNA1309847	Dascyllus_aruanus_1908_MarungasIsland_Sulu_lcwgs	BioSample: 42, SRA: 42	ToBeReleased	2028-01-01	2025-08-23T05:42:37.260Z	2026-02-16T00:35:16.540Z	SUB15545217
PRJNA1310006	Dascyllus_aruanus_2021_JoloIsland_Sulu_lcwgs	BioSample: 112, SRA: 112	ToBeReleased	2028-01-01	2025-08-23T18:04:42.413Z	2026-02-16T00:34:14.087Z	SUB15545222
PRJNA1303674	Sphaeramia_nematoptera_1908_TataanPass_TawiTawi_lcwgs	BioSample: 27, SRA: 27	ToBeReleased	2028-01-01	2025-08-08T17:14:03.527Z	2026-02-02T00:33:38.670Z	SUB15512465
PRJNA1297188	Sphaeramia_nematoptera_1909_Biri_NorthernSamar_lcwgs	SRA: 56, BioSample: 56	ToBeReleased	2027-01-01	2025-07-25T19:58:18.833Z	2026-01-12T00:23:16.207Z	SUB15471765
PRJNA1299557	Sphaeramia_nematoptera_1908_Romblon_Romblon_lcwgs	SRA: 88, BioSample: 88	ToBeReleased	2028-01-01	2025-08-01T01:05:43.657Z	2026-01-11T23:59:35.820Z	SUB15509037
