Accession	Title	Links	Status	Release Date	Created	Updated	Submission
PRJNA1299697	Sphaeramia_nematoptera_2022_Biri_NorthernSamar_lcwgs	SRA: 112, BioSample: 112	ToBeReleased	2028-01-01	2025-08-01T03:04:40.927Z	2026-01-11T23:58:29.593Z	SUB15509027
PRJNA1193122	Gerres_oyena_1908_Calape_Bohol_lcwgs	BioSample: 20, SRA: 20	ToBeReleased	2027-01-01	2024-12-03T01:18:08.090Z	2025-08-17T19:09:09.577Z	SUB14903793
PRJNA1193264	Gerres_oyena_1909_Getafe_Bohol_lcwgs	BioSample: 95, SRA: 95	ToBeReleased	2027-01-01	2024-12-03T07:34:58.560Z	2025-08-17T19:08:14.327Z	SUB14903819
PRJNA1193268	Gerres_oyena_2021_Getafe_Bohol_lcwgs	SRA: 112, BioSample: 112	ToBeReleased	2027-01-01	2024-12-03T07:48:02.947Z	2025-08-17T19:08:12.130Z	SUB14903831
PRJNA1196103	Salarias_fasciatus_2019_Mercedes_Camarines-Norte_lcwgs	SRA: 161, BioSample: 161	ToBeReleased	2027-01-01	2024-12-10T05:45:05.110Z	2025-08-17T18:46:59.170Z	SUB14918783
PRJNA1197494	Halichoeres_miniatus_2019_Paracale_Camarines-Norte_CaptureSeq	BioSample: 96, SRA: 96	ToBeReleased	2027-01-01	2024-12-12T19:48:59.743Z	2025-08-17T18:36:20.883Z	SUB14924610
PRJNA1197495	Halichoeres_miniatus_2019_Mercedes_Camarines-Norte_CaptureSeq	BioSample: 94, SRA: 94	ToBeReleased	2027-01-01	2024-12-12T19:49:17.530Z	2025-08-17T18:36:20.317Z	SUB14924582
PRJNA1197565	Spratelloides_delicatulus_2017_Bulan_Sorsogon_CaptureSeq	SRA: 89, BioSample: 89	ToBeReleased	2027-01-01	2024-12-13T01:50:25.393Z	2025-08-17T18:35:38.267Z	SUB14926185
PRJNA1197747	Salarias_fasciatus_1909_Mercedes_Camarines-Norte_lcwgs	SRA: 102, BioSample: 102	ToBeReleased	2027-01-01	2024-12-13T09:50:53.393Z	2025-08-17T18:34:15.030Z	SUB14926902
PRJNA1197748	Spratelloides_delicatulus_1909_Matnog_Sorsogon_CaptureSeq	BioSample: 92, SRA: 92	ToBeReleased	2027-01-01	2024-12-13T09:52:39.020Z	2025-08-17T18:34:14.437Z	SUB14926954
PRJNA1197750	Halichoeres_miniatus_1909_Mercedes_Camarines-Norte_CaptureSeq	SRA: 43, BioSample: 43	ToBeReleased	2027-01-01	2024-12-13T09:53:34.393Z	2025-08-17T18:34:13.247Z	SUB14927007
PRJNA1197752	Halichoeres_miniatus_1909_Paracale_Camarines-Norte_CaptureSeq	BioSample: 49, SRA: 49	ToBeReleased	2027-01-01	2024-12-13T09:54:23.773Z	2025-08-17T18:34:12.047Z	SUB14927016
PRJNA1199563	Taeniamia_zosterophora_2019_MatalvisIsland_Zambales_CaptureSeq	SRA: 55, BioSample: 55	ToBeReleased	2027-01-01	2024-12-17T23:12:24.207Z	2025-08-17T18:20:37.343Z	SUB14937523
PRJNA1199564	Taeniamia_zosterophora_1908_MatalvisIsland_Zambales_CaptureSeq	BioSample: 48, SRA: 48	ToBeReleased	2027-01-01	2024-12-17T23:17:03Z	2025-08-17T18:20:36.753Z	SUB14937516
PRJNA1170328	Parupeneus_barberinus_2022_Batangas-City_Batangas_lcwgs	SRA: 88, BioSample: 88	ToBeReleased	2027-01-01	2024-10-08T22:15:52.627Z	2025-07-20T19:54:52.320Z	SUB14769796
PRJNA1171860	Parupeneus_barberinus_1908_Puerto-Galera_Oriental-Mindoro_lcwgs	SRA: 68, BioSample: 68	ToBeReleased	2027-01-01	2024-10-11T21:31:55.773Z	2025-07-20T19:43:48.223Z	SUB14781375
PRJNA1171888	Zenarchopterus_dispar_2022_Isabel_Leyte_lcwgs	BioSample: 113, SRA: 113	ToBeReleased	2027-01-01	2024-10-12T01:27:11.620Z	2025-07-20T19:43:32.620Z	SUB14784728
PRJNA1171961	Zenarchopterus_dispar_1908_Isabel_Leyte_lcwgs	SRA: 94, BioSample: 94	ToBeReleased	2027-01-01	2024-10-12T04:58:21.217Z	2025-07-20T19:43:14.877Z	SUB14787099
