Individual_ID	Extraction_ID	Storage_solution	Date_Subsampling	Subsampler	Date_Extracting	Tube_Stuffer	mg_Tissue_Extracted	Digestion_min	Extractor	Extraction_TubeID	PlateID	Elution_Buffer	num_elutions	Elution1_PlateID	Elution1_Plate_Column	Elution1_Plate_Row	Elution1_Total_volume_ul	Elution1_Vol_for_TAMUCC	Elution1_Vol_for_ODU	Elution1_nanodrop_ng_ul	Elution2_PlateID	Elution2_Plate_Column	Elution2_Plate_Row	Elution2_Total_volume_ul	Elution2_Vol_for_TAMUCC	Elution2_Vol_for_ODU	Elution2_nanodrop_ng_ul	Elution3_PlateID	Elution3_Plate_Column	Elution3_Plate_Row	Elution3_Total_volume_ul	Elution3_Vol_for_TAMUCC	Elution3_Vol_for_ODU	Elution3_nanodrop_ng_ul	Elution4_PlateID	Elution4_Plate_Column	Elution4_Plate_Row	Elution4_Total_volume_ul	Elution4_Vol_for_TAMUCC	Elution4_Vol_for_ODU	Elution4_nanodrop_ng_ul	Date_Gelled_ODU	ODU_Volume_Gelled_ul	ODU_Gel_Jockey	Elution1_Gel_Score_ODU	Elution2_Gel_Score_ODU	Elution3_Gel_Score_ODU	Elution4_Gel_Score_ODU	Elution1_Gel_Score_TAMUCC	Elution2_Gel_Score_TAMUCC	Elution3_Gel_Score_TAMUCC	Elution4_Gel_Score_TAMUCC	Elution_Used	Notes	
Abu-ADup_031	Abu-ADup_031-Ex1	EtOH										EB																																											
Abu-ADup_032	Abu-ADup_032-Ex1	EtOH										EB																																											
Abu-ADup_033	Abu-ADup_033-Ex1	EtOH										EB																																											
Abu-ADup_034	Abu-ADup_034-Ex1	EtOH										EB																																											
Abu-ADup_035	Abu-ADup_035-Ex1	EtOH										EB																																											
Abu-ADup_036	Abu-ADup_036-Ex1	EtOH										EB																																											
Abu-ADup_037	Abu-ADup_037-Ex1	EtOH										EB																																											
Abu-ADup_038	Abu-ADup_038-Ex1	EtOH										EB																																											
Abu-ADup_039	Abu-ADup_039-Ex1	EtOH										EB																																											
Abu-ADup_040	Abu-ADup_040-Ex1	EtOH										EB																																											
Abu-ADup_041	Abu-ADup_041-Ex1	EtOH										EB																																											
Abu-ADup_042	Abu-ADup_042-Ex1	EtOH										EB																																											
Abu-APnd_001	Abu-APnd_001_E1	EtOH	8/25/2022	George_Bonsall	10/24/2022	Gabe_Salomon	50	120	Gabe_Salomon	NA	Mix-A_006	EB		Mix-A_006_E1	5	D				74.5																						10/24/2022	2	John_Schaefer											
Abu-APnd_002	Abu-APnd_002_E1	EtOH	8/25/2022	George_Bonsall	10/24/2022	John_Schaefer	50	120	John_Schaefer	NA	Mix-A_006	EB		Mix-A_006_E1	6	D				-25.1																						10/24/2022	2	John_Schaefer											
Abu-APnd_003	Abu-APnd_003_E1	EtOH	8/25/2022	George_Bonsall	10/24/2022	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB		Mix-A_006_E1	7	D				165.7																						10/24/2022	2	John_Schaefer											
Abu-APnd_004	Abu-APnd_004_E1	EtOH	8/25/2022	George_Bonsall	10/24/2022	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB		Mix-A_006_E1	8	D				63.3																						10/24/2022	2	John_Schaefer											
Abu-APnd_005	Abu-APnd_005_E1	EtOH	8/25/2022	George_Bonsall	10/24/2022	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB		Mix-A_006_E1	9	D				35.3																						10/24/2022	2	John_Schaefer											
Abu-APnd_006	Abu-APnd_006_E1	EtOH	8/25/2022	George_Bonsall	10/24/2022	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB		Mix-A_006_E1	10	D				45.5																						10/24/2022	2	John_Schaefer											
Abu-APnd_007	Abu-APnd_007_E1	EtOH	8/25/2022	George_Bonsall	10/24/2022	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB		Mix-A_006_E1	11	D				405.9																						10/24/2022	2	John_Schaefer											
Abu-APnd_008	Abu-APnd_008_E1	EtOH	8/25/2022	George_Bonsall	10/24/2022	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB		Mix-A_006_E1	12	D				83.6																						10/24/2022	2	John_Schaefer											
Abu-APnd_009	Abu-APnd_009_E1	EtOH	8/25/2022	George_Bonsall	10/24/2022	John_Schaefer	50	120	John_Schaefer	NA	Mix-A_006	EB		Mix-A_006_E1	1	E				19.5																						10/24/2022	2	John_Schaefer											
Abu-APnd_010	Abu-APnd_010_E1	EtOH	8/25/2022	George_Bonsall	10/24/2022	John_Schaefer	50	120	John_Schaefer	NA	Mix-A_006	EB		Mix-A_006_E1	2	E				145.9																						10/24/2022	2	John_Schaefer											
Abu-APnd_011	Abu-APnd_011_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	John_Schaefer	50	120	John_Schaefer	NA	Mix-A_006	EB		Mix-A_006_E1	3	E				7.5																						10/24/2022	2	John_Schaefer											
Abu-APnd_012	Abu-APnd_012_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	John_Schaefer	50	120	John_Schaefer	NA	Mix-A_006	EB		Mix-A_006_E1	4	E				33.1																						10/24/2022	2	John_Schaefer											
Abu-APnd_013	Abu-APnd_013_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	John_Schaefer	50	120	John_Schaefer	NA	Mix-A_006	EB		Mix-A_006_E1	5	E				90																						10/24/2022	2	John_Schaefer											
Abu-APnd_014	Abu-APnd_014_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	John_Schaefer	50	120	John_Schaefer	NA	Mix-A_006	EB		Mix-A_006_E1	6	E				31.1																						10/24/2022	2	John_Schaefer											
Abu-APnd_015	Abu-APnd_015_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB		Mix-A_006_E1	7	E				35.1																						10/24/2022	2	John_Schaefer											
Abu-APnd_016	Abu-APnd_016_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB		Mix-A_006_E1	8	E				62.3																						10/24/2022	2	John_Schaefer											
Abu-APnd_017	Abu-APnd_017_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB		Mix-A_006_E1	9	E				80.2																						10/24/2022	2	John_Schaefer											
Abu-APnd_018	Abu-APnd_018_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB		Mix-A_006_E1	10	E				30.4																						10/24/2022	2	John_Schaefer											
Abu-APnd_019	Abu-APnd_019_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB		Mix-A_006_E1	11	E				44																						10/24/2022	2	John_Schaefer											
Abu-APnd_020	Abu-APnd_020_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB		Mix-A_006_E1	12	E				24.5																						10/24/2022	2	John_Schaefer											
Abu-APnd_021	Abu-APnd_021_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	John_Schaefer	50	120	John_Schaefer	NA	Mix-A_006	EB		Mix-A_006_E1	1	G																																							
Abu-APnd_022	Abu-APnd_022_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	John_Schaefer	50	120	John_Schaefer	NA	Mix-A_006	EB		Mix-A_006_E1	2	G																																							
Abu-APnd_023	Abu-APnd_023_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	John_Schaefer	50	120	John_Schaefer	NA	Mix-A_006	EB		Mix-A_006_E1	3	G																																							
Abu-APnd_024	Abu-APnd_024_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	John_Schaefer	50	120	John_Schaefer	NA	Mix-A_006	EB		Mix-A_006_E1	4	G																																							
Abu-APnd_025	Abu-APnd_025_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	John_Schaefer	50	120	John_Schaefer	NA	Mix-A_006	EB		Mix-A_006_E1	5	F																																							
Abu-APnd_026	Abu-APnd_026_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	John_Schaefer	50	120	John_Schaefer	NA	Mix-A_006	EB		Mix-A_006_E1	6	F																																							
Abu-APnd_027	Abu-APnd_027_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB		Mix-A_006_E1	7	F																																							
Abu-APnd_028	Abu-APnd_028_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB		Mix-A_006_E1	8	F																																							
Abu-APnd_029	Abu-APnd_029_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB		Mix-A_006_E1	9	F																																							
Abu-APnd_030	Abu-APnd_030_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB		Mix-A_006_E1	10	F																																							
Abu-APnd_031	Abu-APnd_031_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB		Mix-A_006_E1	11	F																																							
Abu-APnd_032	Abu-APnd_032_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB		Mix-A_006_E1	12	F																																							
Abu-APnd_033	Abu-APnd_033_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	John_Schaefer	50	120	John_Schaefer	NA	Mix-A_006	EB		Mix-A_006_E1	1	F																																							
Abu-APnd_034	Abu-APnd_034_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	John_Schaefer	50	120	John_Schaefer	NA	Mix-A_006	EB		Mix-A_006_E1	2	F																																							
Abu-APnd_035	Abu-APnd_035_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	John_Schaefer	50	120	John_Schaefer	NA	Mix-A_006	EB		Mix-A_006_E1	3	F																																							
Abu-APnd_036	Abu-APnd_036_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	John_Schaefer	50	120	John_Schaefer	NA	Mix-A_006	EB		Mix-A_006_E1	4	F																																							
Abu-APnd_037	Abu-APnd_037_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	John_Schaefer	50	120	John_Schaefer	NA	Mix-A_006	EB		Mix-A_006_E1	5	G																																							
Abu-APnd_038	Abu-APnd_038_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	John_Schaefer	50	120	John_Schaefer	NA	Mix-A_006	EB		Mix-A_006_E1	6	G																																							
Abu-APnd_039	Abu-APnd_039_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB		Mix-A_006_E1	7	G																																							
Abu-APnd_040	Abu-APnd_040_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB		Mix-A_006_E1	8	G																																							
Abu-APnd_041	Abu-APnd_041_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB		Mix-A_006_E1	9	G																																							
Abu-APnd_042	Abu-APnd_042_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB		Mix-A_006_E1	10	G																																							
Abu-APnd_043	Abu-APnd_043_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB		Mix-A_006_E1	11	G																																							
Abu-APnd_044	Abu-APnd_044_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB		Mix-A_006_E1	12	G																																							
Abu-APnd_045	Abu-APnd_045_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	John_Schaefer	50	120	John_Schaefer	NA	Mix-A_006	EB		Mix-A_006_E1	1	H																																							
Abu-APnd_046	Abu-APnd_046_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	John_Schaefer	50	120	John_Schaefer	NA	Mix-A_006	EB		Mix-A_006_E1	2	H																																							
Abu-APnd_047	Abu-APnd_047_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	John_Schaefer	50	120	John_Schaefer	NA	Mix-A_006	EB		Mix-A_006_E1	3	H																																							
Abu-APnd_048	Abu-APnd_048_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	John_Schaefer	50	120	John_Schaefer	NA	Mix-A_006	EB		Mix-A_006_E1	4	H																																							
Abu-APnd_049	Abu-APnd_049_E1	EtOH	9/1/2022	John_Schaefer	10/24/2022	John_Schaefer	50	120	John_Schaefer	NA	Mix-A_006	EB		Mix-A_006_E1	5	H																																							
