lot_id	site_id	match_id	collection_site	latitude	longitude	barangay	local_government_unit	province	region	island_group	notes
97518	Pal	Bali	NA	12.6347634	125.00979	NA	Laoang	Northern Samar	Eastern Visayas	Visayas	Port Palapag
97521	Gal	PGal	Puerto_Galera	13.5722403	121.085873	San Andres	Batangas	Batangas	CALABARZON	Luzon	NA
97536	Gal	PGal	Puerto_Galera	13.5722403	121.085873	San Andres	Batangas	Batangas	CALABARZON	Luzon	NA
97537	Rom	Romb	Romblon_Harbor	12.5789662	122.2676674	Capaclan	Romblon	Romblon	MIMAROPA	Luzon	location info from Albatross collection site google map (Malin 2026-04-08)
97544	Pal	Bali	NA	12.6347634	125.00979	NA	Laoang	Northern Samar	Eastern Visayas	Visayas	Port Palapag
97562	Rom	Romb	Romblon_Harbor	12.5789662	122.2676674	Capaclan	Romblon	Romblon	MIMAROPA	Luzon	location info from Albatross collection site google map (Malin 2026-04-08)
97579	Gal	PGal	Puerto_Galera	13.5722403	121.085873	San Andres	Batangas	Batangas	CALABARZON	Luzon	NA
97580	Gal	PGal	Puerto_Galera	13.5722403	121.085873	San Andres	Batangas	Batangas	CALABARZON	Luzon	NA
97583	Bir	Bali	Biri_Channel	12.621885	124.3965	NA	Biri	Northern Samar	Eastern Visayas	Visayas	"location info infered from lotID sheet and other lots with same """"collection_site"""" column. JDS 9.29.2025"
97585	Bur	Buri	Alimango_Bay	13.091115	122.9513	NA	San Pascual	Masbate	Bicol	Luzon	"location info infered from lotID sheet and other lots with same """"collection_site"""" column. JDS 9.29.2025"
97593	Rom	Romb	Romblon_Harbor	12.5789662	122.2676674	Capaclan	Romblon	Romblon	MIMAROPA	Luzon	location info from Albatross collection site google map (Malin 2026-04-08)
97594	Rom	Romb	Romblon_Harbor	12.5789662	122.2676674	Capaclan	Romblon	Romblon	MIMAROPA	Luzon	location info from Albatross collection site google map (Malin 2026-04-08)
97607	Bur	Buri	Alimango_Bay	13.091115	122.9513	NA	San Pascual	Masbate	Bicol	Luzon	"location info infered from lotID sheet and other lots with same """"collection_site"""" column. JDS 9.29.2025"
