lot_id	site_id	match_id	collection_site	latitude	longitude	barangay	local_government_unit	province	region	island_group	notes	correction_applied	correction_id	correction_details	correction_date
105345	Bur	CanB	Port_Busin	13.0911153	122.951328						"(171202_171207_105345_to_combined_into_one)._To_confirm_ID_Combined_lot,_previously_requested,_SI_staff_could_not_find_lot"	FALSE			
112099	Can	CanB	Canmahala_Bay	13.2195058	123.041741						USNM_returned	FALSE			
112111	Cot	Cota	Mouth_of_Midanao_River	7.2733769	124.198208							FALSE			
112160	Bln	Boli	Bolinao_Bay	16.3897316	119.90839						need_to_collect_contemporary	FALSE			
112931	Ceb		Cebu_Market	10.2950309	123.912569							FALSE			
120302	Nau	Nauj	Naujan_River	13.335007	121.313332						New_lot._To_determine_priority.	FALSE			
120303	Mnl		Manila_Bay	14.5784224	120.965873							FALSE			
120804	Ham	PMar	Jamelo_Cove	14.1810585	120.604616							FALSE			
120834	Sub		"Grande_Island (near Matalvi, already have)"	14.7376526	120.270131						"Indiviiduals column used to say """"""""""""""""41_or_45"""""""""""""""""	FALSE			
120836	Gal	PGal	Varadero_Bay	13.4964937	120.957885							FALSE			
120855	Gal	PGal	Varadero_Bay	13.4964937	120.957885							FALSE			
120887	Bag		Baganga_Bay	7.5785869	126.565963							FALSE			
120928			Maribojoc_Bay	9.7338178	123.835071						Confirmed_ID.	FALSE			
122742			"Capitancillo_Id._Lt.,_N.,_11.75_miles__[Chart_corrected]"	10.78	124.108305						CAS_distribution:_Australia_to_Japan	FALSE			
131117	Gal	PGal	Varadero_Bay									FALSE			
135291	Mar	PMar	Port_Maricaban	13.6791984	120.840502							FALSE			
135745	Nak	Nako	Nakoda_Bay	9.291119	117.958053							FALSE			
135896	Mnl		Manila_Bay	14.5784224	120.965873							FALSE			
136688	Vic	Vice	Port_San_Vicente	18.5154096	122.138975							FALSE			
136726	Bus		Port_Uson	11.9991625	120.137332							FALSE			
136728	Bln		Bolinao_Bay	16.3897316	119.90839							FALSE			
136729	Mar		Port_Maricaban	13.6791984	120.840502						"Mix lot, need to check every ind."	FALSE			
