Family	Family_Ecology	Genera_in_Fam	Spp_in_Fam	Spp_in_genus	Species_Albatross_name	Species_valid_name	Species_Code	Common_name	General_Fishing_Pressure	Different_fishing_pressure_depending_on_locality	Habitat_1	Authority	No_of_Alb_sites	Alb_sites	USNM_lot_No_(number_of_indiv)	No_of_C_sites	C_sites	Fising_pressure?	Trophic_group	Diet	Habitat_2	Depth_(m)	Behavior	Global_Distribution 	Regional_Distribution	Max_Length_(cm)	Notes	Red_list_status	References
Blenniidae	Tropical	NA	NA	NA	Salarias_fasciatus	Salarias_fasciatus	Sfa	Jewelled_blenny	M (Aquarium fishing, top 15 exported, but only in areas where aquarium fishing is present)	Y	rocky; algal beds	NA	3	Basud_River,_Batan_Id,_Port_Gubat	Basud_River_138297(36);_Batan_Is_total_62:_137777(45),137782(17),_Port_Gubat_137776(25)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clupeidae	Tropical	NA	NA	NA	Sardinella_lemuru	Sardinella_lemuru	Sle	Bali_sardinella	H (commonly caught, NSAP, tastes good HAHA)	N	NA	NA	1	Baganga_Bay	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Siganidae	Tropical	1	29	29	Siganus_fuscescens	Siganus_fuscescens	Sfu	Mottled_spinefoot	H	N	seagrass/algal beds; coral reef	Houttuyn,_1782	1	Bais_Bay_Anchorage	NA	NA	NA	NA	Herbivore	All_species_are_diurnal_herbivores_that_feed_on_benthic_algae	Marine;_brackish;_reef-associated;_oceanodromous	1_-_50	Inhabits_algal_and_seagrass_flats_and_shallow_lagoon_and_coastal_reefs._Forms_schools._Mainly_diurnal._Juveniles_feed_on_filamentous_algae,_adults_feed_on_leafy_algae_and_seagrasses._Commercially_cultured_in_Japan._Commonly_found_in_large_estuaries._Anterolateral_glandular_groove_with_venom_gland	Western_Pacific	Southern_Korea,_southern_Japan,_Ogasawara_Islands,_Taiwan,_southern_China,_Malaysia,_Singapore,_Thailand,_Andaman_Islands,_Indonesia,_Philippines,_Yap,_Palau,_Pohnpei_(Caroline_Islands),_Solomon_Islands,_Papua_New_Guinea,_Vanuatu,_New_Caledonia,_and_Australia	40	Threat_to_humans; Venomous. Anterolateral_glandular_groove_with_venom_gland	Least_Concern	Fishbase-_Woodland,_D.J.,_1990._Revision_of_the_fish_family_Siganidae_with_descriptions_of_two_new_species_and_comments_on_distribution_and_biology._Indo-Pac._Fish._(19):136_p._(Ref._1419)
Siganidae	Tropical	1	29	29	Siganus_spinus	Siganus_spinus	Ssp	Little_spinefoot	H	N	seagrass/algal beds; coral reef	Linnaeus,_1758	1	Atulayan_Bay	NA	NA	NA	NA	Herbivore	All_species_are_diurnal_herbivores_that_feed_on_benthic_algae	Marine;_reef-associated	1_-_50	Adults_inhabit_shallow_coral_reef_flats._Found_in_rivers._Occurs_in_small_schools_(usually_less_than_10_individuals)._Juveniles_gather_in_larger_numbers_in_corals_with_algae-grown_at_their_bases.	Indo-West_Pacific	India_to_French_Polynesia;_north_to_Japan;_south_to_New_Caledonia	28	Threat_to_humans;_Venomous.	Least_Concern	Fishbase-_Woodland,_D.J.,_1990._Revision_of_the_fish_family_Siganidae_with_descriptions_of_two_new_species_and_comments_on_distribution_and_biology._Indo-Pac._Fish._(19):136_p._(Ref._1419)
Apogonidae	Tropical_and_subtropical._up_to_300m,_coral_and_rocky_reef	41	353	NA	Siphamia_elongata	Siphamia_elongata	Sel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Apogonidae	Tropical_and_subtropical._up_to_300m,_coral_and_rocky_reef	41	353	NA	Siphamia_cuprea	Siphamia_tubifer	Stu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Apogonidae	Tropical_and_subtropical._up_to_300m,_coral_and_rocky_reef	41	353	NA	Sphyraemia_nematoptera	Sphyraemia_nematoptera	Sne	Pajama_cardinalfish	H (Aquarium fishing, top 11 exported in PH, but only in areas where there is aquarium fishing present)	Y	coral reef	NA	3	Romblon,_Tawi-Tawi,_Balicuatro_Is	Romblon_171531(39) & 171546(6);_Tawi-Tawi_171534(27);_Balicuatro_Is_total_28:_171533(10),171543(7),171528(11)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Apogonidae	Tropical_and_subtropical._up_to_300m,_coral_and_rocky_reef	41	353	NA	Sphyraemia_orbicularis	Sphyraemia_orbicularis	Sor	Polka-dot_cardinalfish	M (aquarium fishing, not top)	NA	mangroves; fossil reef terraces	NA	3	Canmahala_Bay,_Mactan_Cebu,_Burias_Island	Canmahala_Bay_171202(50),_Mactan_Island_171206(22),_Burias_Is_total_18:_171207(17),105345(1)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sphyraenidae	Tropical	NA	NA	NA	Sphyraena_obtusata	Sphyraena_obtusata	Sob	Obtuse_barracuda	M (NSAP)	N	coral reef	NA	2	Pandanon_Id.,_Surigao	137234(52)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clupeidae	Tropical	NA	NA	NA	Spratelloides_delicatulus	Spratelloides_delicatulus	Sde	Delicate_round_herring	L-M? (Not common species encountered, but could be dried and eaten!)	N	coral reef; lagoon, seagrass beds	NA	13	Balamban ,_Bolalo_Bay,_Bulan_Island,_Inamucan_Bay,_Mansalay_Bay,_Matnog_Bay,_Port_Maricaban,_Puerto_Galera,_Sacol_Island,_Tumindao,_Cagayan_de_Jolo_[Mapun_Island_(Google_Earth),_Cagayan_de_Sulu_(Deck_Log),_Cagayan_de_Tawi_Tawi_(NAMRIA)].	NA	3	Bulan,_Hamilo_Cove,_Silanguin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clupeidae	Tropical	NA	NA	NA	Spratelloides_gracilis	Spratelloides_gracilis	Sgr	Silver-stripe_round_herring	L-M? (Not common species encountered, but could be dried and eaten!)	N	coral reef; lagoon, seagrass beds	NA	8	Grande_Island,_Looc_Bay,_Matnog_Bay,_Port_Matalvi_reef,_Port_Palapag,_Santa_Cruz_Bay,_Surigao,_Tutu_Bay	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
