individual_id	tissue_id	tissue_type	notes
Abu-CPnd_059	Abu-CPnd_059-mus	muscle	
Abu-CPnd_060	Abu-CPnd_060-mus	muscle	
Abu-CPnd_061	Abu-CPnd_061-mus	muscle	
Abu-CPnd_062	Abu-CPnd_062-mus	muscle	
Abu-CPnd_063	Abu-CPnd_063-mus	muscle	
Abu-CPnd_064	Abu-CPnd_064-mus	muscle	
Abu-CPnd_065	Abu-CPnd_065-mus	muscle	
Abu-CPnd_066	Abu-CPnd_066-mus	muscle	
Abu-CPnd_067	Abu-CPnd_067-mus	muscle	
Abu-CPnd_068	Abu-CPnd_068-mus	muscle	
Abu-CPnd_069	Abu-CPnd_069-mus	muscle	
Abu-CPnd_070	Abu-CPnd_070-mus	muscle	
Abu-CPnd_071	Abu-CPnd_071-mus	muscle	
Abu-CPnd_072	Abu-CPnd_072-mus	muscle	
Abu-CPnd_073	Abu-CPnd_073-mus	muscle	
Abu-CPnd_074	Abu-CPnd_074-mus	muscle	
Abu-CPnd_075	Abu-CPnd_075-mus	muscle	
Abu-CPnd_076	Abu-CPnd_076-mus	muscle	
Abu-CPnd_077	Abu-CPnd_077-mus	muscle	
Abu-CPnd_078	Abu-CPnd_078-mus	muscle	
Abu-CPnd_079	Abu-CPnd_079-mus	muscle	
Abu-CPnd_080	Abu-CPnd_080-mus	muscle	
Abu-CPnd_081	Abu-CPnd_081-mus	muscle	
Abu-CPnd_082	Abu-CPnd_082-mus	muscle	
Abu-CPnd_083	Abu-CPnd_083-mus	muscle	
Abu-CPnd_084	Abu-CPnd_084-mus	muscle	
Abu-CPnd_085	Abu-CPnd_085-mus	muscle	
Abu-CPnd_086	Abu-CPnd_086-mus	muscle	
Abu-CPnd_087	Abu-CPnd_087-mus	muscle	
Abu-CPnd_088	Abu-CPnd_088-mus	muscle	
Abu-CPnd_089	Abu-CPnd_089-mus	muscle	
Abu-CPnd_090	Abu-CPnd_090-mus	muscle	
Abu-CPnd_091	Abu-CPnd_091-mus	muscle	
Abu-CPnd_092	Abu-CPnd_092-mus	muscle	
Abu-CPnd_093	Abu-CPnd_093-mus	muscle	
Abu-CPnd_094	Abu-CPnd_094-mus	muscle	
Abu-CPnd_095	Abu-CPnd_095-mus	muscle	
Abu-CPnd_096	Abu-CPnd_096-mus	muscle	
Adu-ABat_001	Adu-ABat_001-mus	muscle	
Adu-ABat_002	Adu-ABat_002-mus	muscle	
Adu-ABat_003	Adu-ABat_003-mus	muscle	
Adu-ABat_004	Adu-ABat_004-mus	muscle	
Adu-ABat_005	Adu-ABat_005-mus	muscle	
Adu-ABat_006	Adu-ABat_006-mus	muscle	
Adu-ABat_007	Adu-ABat_007-mus	muscle	
Adu-ABat_008	Adu-ABat_008-mus	muscle	
Adu-ABat_009	Adu-ABat_009-mus	muscle	
Adu-ABat_010	Adu-ABat_010-mus	muscle	
Adu-ABat_011	Adu-ABat_011-mus	muscle	
Adu-ABat_012	Adu-ABat_012-mus	muscle	
Adu-ABat_013	Adu-ABat_013-mus	muscle	
Adu-ABat_014	Adu-ABat_014-mus	muscle	
Adu-ABat_015	Adu-ABat_015-mus	muscle	
Adu-ABat_016	Adu-ABat_016-mus	muscle	
Adu-ABat_017	Adu-ABat_017-mus	muscle	
Adu-ABat_018	Adu-ABat_018-mus	muscle	
Adu-ABat_019	Adu-ABat_019-mus	muscle	
Adu-ABat_020	Adu-ABat_020-mus	muscle	
Adu-ABat_021	Adu-ABat_021-mus	muscle	
Adu-ABat_022	Adu-ABat_022-mus	muscle	
Adu-ABat_023	Adu-ABat_023-mus	muscle	
Adu-ABat_024	Adu-ABat_024-mus	muscle	
Adu-ABus_005	Adu-ABus_005-mus	muscle	
Adu-ABus_006	Adu-ABus_006-mus	muscle	
Adu-ABus_007	Adu-ABus_007-mus	muscle	
Adu-ABus_008	Adu-ABus_008-mus	muscle	
Adu-ABus_009	Adu-ABus_009-mus	muscle	
Adu-ABus_010	Adu-ABus_010-mus	muscle	
Adu-ABus_011	Adu-ABus_011-mus	muscle	
Adu-ABus_012	Adu-ABus_012-mus	muscle	
Adu-ABus_013	Adu-ABus_013-mus	muscle	
Adu-ABus_014	Adu-ABus_014-mus	muscle	
Adu-ABus_015	Adu-ABus_015-mus	muscle	
Adu-ABus_016	Adu-ABus_016-mus	muscle	
Adu-ABus_017	Adu-ABus_017-mus	muscle	
Adu-ABus_018	Adu-ABus_018-mus	muscle	
Adu-ABus_019	Adu-ABus_019-mus	muscle	
Adu-ABus_020	Adu-ABus_020-mus	muscle	
Adu-ABus_021	Adu-ABus_021-mus	muscle	
Adu-ABus_022	Adu-ABus_022-mus	muscle	
Adu-ABus_023	Adu-ABus_023-mus	muscle	
Adu-ABus_024	Adu-ABus_024-mus	muscle	
Adu-ABus_025	Adu-ABus_025-mus	muscle	
Adu-ABus_026	Adu-ABus_026-mus	muscle	
Adu-ABus_027	Adu-ABus_027-mus	muscle	
Adu-ABus_028	Adu-ABus_028-mus	muscle	
Adu-AGal_005	Adu-AGal_005-mus	muscle	
Adu-AGal_006	Adu-AGal_006-mus	muscle	
Adu-AGal_007	Adu-AGal_007-mus	muscle	
Adu-AGal_008	Adu-AGal_008-mus	muscle	
Adu-AGal_009	Adu-AGal_009-mus	muscle	
Adu-AGal_010	Adu-AGal_010-mus	muscle	
Adu-AGal_011	Adu-AGal_011-mus	muscle	
Adu-AGal_012	Adu-AGal_012-mus	muscle	
Adu-AGal_013	Adu-AGal_013-mus	muscle	
Adu-AGal_014	Adu-AGal_014-mus	muscle	
Adu-AGal_015	Adu-AGal_015-mus	muscle	
Adu-AGal_016	Adu-AGal_016-mus	muscle	
Adu-AGal_017	Adu-AGal_017-mus	muscle	
Adu-AGal_018	Adu-AGal_018-mus	muscle	
Adu-AGal_019	Adu-AGal_019-mus	muscle	
Adu-AGal_020	Adu-AGal_020-mus	muscle	
Adu-AGal_021	Adu-AGal_021-mus	muscle	
Adu-AGal_022	Adu-AGal_022-mus	muscle	
Adu-AGal_023	Adu-AGal_023-mus	muscle	
Adu-AGal_024	Adu-AGal_024-mus	muscle	
Adu-AGal_025	Adu-AGal_025-mus	muscle	
Adu-AGal_026	Adu-AGal_026-mus	muscle	
Adu-AGal_027	Adu-AGal_027-mus	muscle	
Adu-AGal_028	Adu-AGal_028-mus	muscle	
Adu-AGal_029	Adu-AGal_029-mus	muscle	
Adu-AGal_030	Adu-AGal_030-mus	muscle	
Adu-AGal_031	Adu-AGal_031-mus	muscle	
Adu-AGal_032	Adu-AGal_032-mus	muscle	
Adu-AGal_033	Adu-AGal_033-mus	muscle	
Adu-AGal_034	Adu-AGal_034-mus	muscle	
Adu-AGal_035	Adu-AGal_035-mus	muscle	
Adu-AGal_036	Adu-AGal_036-mus	muscle	
Adu-AGal_037	Adu-AGal_037-mus	muscle	
Adu-AGal_038	Adu-AGal_038-mus	muscle	
Adu-AGal_039	Adu-AGal_039-mus	muscle	
Adu-AGal_040	Adu-AGal_040-mus	muscle	
Adu-AGal_041	Adu-AGal_041-mus	muscle	
Adu-AGal_042	Adu-AGal_042-mus	muscle	
Adu-AGal_043	Adu-AGal_043-mus	muscle	
Adu-AGal_044	Adu-AGal_044-mus	muscle	
Adu-AGal_045	Adu-AGal_045-mus	muscle	
Adu-AGui_001	Adu-AGui_001-mus	muscle	
Adu-AGui_002	Adu-AGui_002-mus	muscle	
Adu-AGui_003	Adu-AGui_003-mus	muscle	
Adu-AGui_004	Adu-AGui_004-mus	muscle	
Adu-AGui_005	Adu-AGui_005-mus	muscle	
Adu-AGui_006	Adu-AGui_006-mus	muscle	
Adu-AGui_007	Adu-AGui_007-mus	muscle	
Adu-AGui_008	Adu-AGui_008-mus	muscle	
Adu-AGui_009	Adu-AGui_009-mus	muscle	
Adu-AGui_010	Adu-AGui_010-mus	muscle	
Adu-AGui_011	Adu-AGui_011-mus	muscle	
Adu-AGui_012	Adu-AGui_012-mus	muscle	
Adu-AGui_013	Adu-AGui_013-mus	muscle	
Adu-AGui_014	Adu-AGui_014-mus	muscle	
Adu-AGui_015	Adu-AGui_015-mus	muscle	
Adu-AGui_016	Adu-AGui_016-mus	muscle	
Adu-AGui_017	Adu-AGui_017-mus	muscle	
Adu-AGui_018	Adu-AGui_018-mus	muscle	
Adu-AGui_019	Adu-AGui_019-mus	muscle	
Adu-AGui_020	Adu-AGui_020-mus	muscle	
Adu-AGui_021	Adu-AGui_021-mus	muscle	
Adu-AGui_022	Adu-AGui_022-mus	muscle	
Adu-AGui_023	Adu-AGui_023-mus	muscle	
Adu-AGui_024	Adu-AGui_024-mus	muscle	
Adu-AGui_025	Adu-AGui_025-mus	muscle	
Adu-AGui_026	Adu-AGui_026-mus	muscle	
Adu-AGui_027	Adu-AGui_027-mus	muscle	
Adu-AGui_028	Adu-AGui_028-mus	muscle	
Adu-AGui_029	Adu-AGui_029-mus	muscle	
Adu-AGui_030	Adu-AGui_030-mus	muscle	
Adu-AGui_031	Adu-AGui_031-mus	muscle	
Adu-AGui_032	Adu-AGui_032-mus	muscle	
Adu-AGui_033	Adu-AGui_033-mus	muscle	
Adu-AGui_034	Adu-AGui_034-mus	muscle	
Adu-AGui_035	Adu-AGui_035-mus	muscle	
Adu-AGui_036	Adu-AGui_036-mus	muscle	
Adu-AGui_037	Adu-AGui_037-mus	muscle	
Adu-AGui_038	Adu-AGui_038-mus	muscle	
Adu-AGui_039	Adu-AGui_039-mus	muscle	
Adu-AGui_040	Adu-AGui_040-mus	muscle	
Adu-AGui_041	Adu-AGui_041-mus	muscle	
Adu-AGui_042	Adu-AGui_042-mus	muscle	
Adu-AGui_043	Adu-AGui_043-mus	muscle	
Adu-AGui_044	Adu-AGui_044-mus	muscle	
Adu-AGui_045	Adu-AGui_045-mus	muscle	
Adu-AGui_046	Adu-AGui_046-mus	muscle	
Adu-AGui_047	Adu-AGui_047-mus	muscle	
Adu-AGui_048	Adu-AGui_048-mus	muscle	
Adu-AGui_049	Adu-AGui_049-mus	muscle	
Adu-AHam_001	Adu-AHam_001-mus	muscle	
Adu-AHam_002	Adu-AHam_002-mus	muscle	
Adu-AHam_003	Adu-AHam_003-mus	muscle	
Adu-AHam_004	Adu-AHam_004-mus	muscle	
Adu-AHam_005	Adu-AHam_005-mus	muscle	
Adu-AHam_006	Adu-AHam_006-mus	muscle	
Adu-AHam_007	Adu-AHam_007-mus	muscle	
Adu-AHam_008	Adu-AHam_008-mus	muscle	
Adu-AHam_009	Adu-AHam_009-mus	muscle	
Adu-AHam_010	Adu-AHam_010-mus	muscle	
Adu-AHam_011	Adu-AHam_011-mus	muscle	
Adu-AHam_012	Adu-AHam_012-mus	muscle	
Adu-AHam_013	Adu-AHam_013-mus	muscle	
Adu-AHam_014	Adu-AHam_014-mus	muscle	
Adu-AHam_015	Adu-AHam_015-mus	muscle	
Adu-AHam_016	Adu-AHam_016-mus	muscle	
Adu-AHam_017	Adu-AHam_017-mus	muscle	
Adu-AHam_018	Adu-AHam_018-mus	muscle	
Adu-AHam_019	Adu-AHam_019-mus	muscle	
Adu-AHam_020	Adu-AHam_020-mus	muscle	
Adu-AHam_021	Adu-AHam_021-mus	muscle	
Adu-AHam_022	Adu-AHam_022-mus	muscle	
Adu-AHam_023	Adu-AHam_023-mus	muscle	
Adu-AHam_024	Adu-AHam_024-mus	muscle	
Adu-AHam_025	Adu-AHam_025-mus	muscle	
Adu-AHam_026	Adu-AHam_026-mus	muscle	
Adu-AHam_027	Adu-AHam_027-mus	muscle	
