individual_id	tissue_id	tissue_type	notes
Abu-ADup_001	Abu-ADup_001-mus	muscle	
Abu-ADup_002	Abu-ADup_002-mus	muscle	
Abu-ADup_003	Abu-ADup_003-mus	muscle	
Abu-ADup_004	Abu-ADup_004-mus	muscle	
Abu-ADup_005	Abu-ADup_005-mus	muscle	
Abu-ADup_006	Abu-ADup_006-mus	muscle	
Abu-ADup_007	Abu-ADup_007-mus	muscle	
Abu-ADup_008	Abu-ADup_008-mus	muscle	
Abu-ADup_009	Abu-ADup_009-mus	muscle	
Abu-ADup_010	Abu-ADup_010-mus	muscle	
Abu-ADup_011	Abu-ADup_011-mus	muscle	
Abu-ADup_012	Abu-ADup_012-mus	muscle	
Abu-ADup_013	Abu-ADup_013-mus	muscle	
Abu-ADup_014	Abu-ADup_014-mus	muscle	
Abu-ADup_015	Abu-ADup_015-mus	muscle	
Abu-ADup_016	Abu-ADup_016-mus	muscle	
Abu-ADup_017	Abu-ADup_017-mus	muscle	
Abu-ADup_018	Abu-ADup_018-mus	muscle	
Abu-ADup_019	Abu-ADup_019-mus	muscle	
Abu-ADup_020	Abu-ADup_020-mus	muscle	
Abu-ADup_021	Abu-ADup_021-mus	muscle	
Abu-ADup_022	Abu-ADup_022-mus	muscle	
Abu-ADup_023	Abu-ADup_023-mus	muscle	
Abu-ADup_024	Abu-ADup_024-mus	muscle	
Abu-ADup_025	Abu-ADup_025-mus	muscle	
Abu-ADup_026	Abu-ADup_026-mus	muscle	
Abu-ADup_027	Abu-ADup_027-mus	muscle	
Abu-ADup_028	Abu-ADup_028-mus	muscle	
Abu-ADup_029	Abu-ADup_029-mus	muscle	
Abu-ADup_030	Abu-ADup_030-mus	muscle	
Abu-ADup_031	Abu-ADup_031-mus	muscle	
Abu-ADup_032	Abu-ADup_032-mus	muscle	
Abu-ADup_033	Abu-ADup_033-mus	muscle	
Abu-ADup_034	Abu-ADup_034-mus	muscle	
Abu-ADup_035	Abu-ADup_035-mus	muscle	
Abu-ADup_036	Abu-ADup_036-mus	muscle	
Abu-ADup_037	Abu-ADup_037-mus	muscle	
Abu-ADup_038	Abu-ADup_038-mus	muscle	
Abu-ADup_039	Abu-ADup_039-mus	muscle	
Abu-ADup_040	Abu-ADup_040-mus	muscle	
Abu-ADup_041	Abu-ADup_041-mus	muscle	
Abu-ADup_042	Abu-ADup_042-mus	muscle	
Abu-APnd_001	Abu-APnd_001-mus	muscle	
Abu-APnd_002	Abu-APnd_002-mus	muscle	
Abu-APnd_003	Abu-APnd_003-mus	muscle	
Abu-APnd_004	Abu-APnd_004-mus	muscle	
Abu-APnd_005	Abu-APnd_005-mus	muscle	
Abu-APnd_006	Abu-APnd_006-mus	muscle	
Abu-APnd_007	Abu-APnd_007-mus	muscle	
Abu-APnd_008	Abu-APnd_008-mus	muscle	
Abu-APnd_009	Abu-APnd_009-mus	muscle	
Abu-APnd_010	Abu-APnd_010-mus	muscle	
Abu-APnd_011	Abu-APnd_011-mus	muscle	
Abu-APnd_012	Abu-APnd_012-mus	muscle	
Abu-APnd_013	Abu-APnd_013-mus	muscle	
Abu-APnd_014	Abu-APnd_014-mus	muscle	
Abu-APnd_015	Abu-APnd_015-mus	muscle	
Abu-APnd_016	Abu-APnd_016-mus	muscle	
Abu-APnd_017	Abu-APnd_017-mus	muscle	
Abu-APnd_018	Abu-APnd_018-mus	muscle	
Abu-APnd_019	Abu-APnd_019-mus	muscle	
Abu-APnd_020	Abu-APnd_020-mus	muscle	
Abu-APnd_021	Abu-APnd_021-mus	muscle	
Abu-APnd_022	Abu-APnd_022-mus	muscle	
Abu-APnd_023	Abu-APnd_023-mus	muscle	
Abu-APnd_024	Abu-APnd_024-mus	muscle	
Abu-APnd_025	Abu-APnd_025-mus	muscle	
Abu-APnd_026	Abu-APnd_026-mus	muscle	
Abu-APnd_027	Abu-APnd_027-mus	muscle	
Abu-APnd_028	Abu-APnd_028-mus	muscle	
Abu-APnd_029	Abu-APnd_029-mus	muscle	
Abu-APnd_030	Abu-APnd_030-mus	muscle	
Abu-APnd_031	Abu-APnd_031-mus	muscle	
Abu-APnd_032	Abu-APnd_032-mus	muscle	
Abu-APnd_033	Abu-APnd_033-mus	muscle	
Abu-APnd_034	Abu-APnd_034-mus	muscle	
Abu-APnd_035	Abu-APnd_035-mus	muscle	
Abu-APnd_036	Abu-APnd_036-mus	muscle	
Abu-APnd_037	Abu-APnd_037-mus	muscle	
Abu-APnd_038	Abu-APnd_038-mus	muscle	
Abu-APnd_039	Abu-APnd_039-mus	muscle	
Abu-APnd_040	Abu-APnd_040-mus	muscle	
Abu-APnd_041	Abu-APnd_041-mus	muscle	
Abu-APnd_042	Abu-APnd_042-mus	muscle	
Abu-APnd_043	Abu-APnd_043-mus	muscle	
Abu-APnd_044	Abu-APnd_044-mus	muscle	
Abu-APnd_045	Abu-APnd_045-mus	muscle	
Abu-APnd_046	Abu-APnd_046-mus	muscle	
Abu-APnd_047	Abu-APnd_047-mus	muscle	
Abu-APnd_048	Abu-APnd_048-mus	muscle	
Abu-APnd_049	Abu-APnd_049-mus	muscle	
Abu-APnd_050	Abu-APnd_050-mus	muscle	
Abu-APnd_051	Abu-APnd_051-mus	muscle	
Abu-APnd_052	Abu-APnd_052-mus	muscle	
Abu-APnd_053	Abu-APnd_053-mus	muscle	
Abu-APnd_054	Abu-APnd_054-mus	muscle	
Abu-APnd_055	Abu-APnd_055-mus	muscle	
Abu-ARag_001	Abu-ARag_001-mus	muscle	
Abu-ARag_002	Abu-ARag_002-mus	muscle	
Abu-ARag_003	Abu-ARag_003-mus	muscle	
Abu-ARag_004	Abu-ARag_004-mus	muscle	
Abu-ARag_005	Abu-ARag_005-mus	muscle	
Abu-ARag_006	Abu-ARag_006-mus	muscle	
Abu-ARag_007	Abu-ARag_007-mus	muscle	
Abu-ARag_008	Abu-ARag_008-mus	muscle	
Abu-ARag_009	Abu-ARag_009-mus	muscle	
Abu-ARag_010	Abu-ARag_010-mus	muscle	
Abu-ARag_011	Abu-ARag_011-mus	muscle	
Abu-ARag_012	Abu-ARag_012-mus	muscle	
Abu-ARag_013	Abu-ARag_013-mus	muscle	
Abu-ARag_014	Abu-ARag_014-mus	muscle	
Abu-ARag_015	Abu-ARag_015-mus	muscle	
Abu-ARag_016	Abu-ARag_016-mus	muscle	
Abu-ARag_017	Abu-ARag_017-mus	muscle	
Abu-ARag_018	Abu-ARag_018-mus	muscle	
Abu-ARag_019	Abu-ARag_019-mus	muscle	
Abu-ARag_020	Abu-ARag_020-mus	muscle	
Abu-ARag_021	Abu-ARag_021-mus	muscle	
Abu-ARag_022	Abu-ARag_022-mus	muscle	
Abu-ARag_023	Abu-ARag_023-mus	muscle	
Abu-ARag_024	Abu-ARag_024-mus	muscle	
Abu-ARag_025	Abu-ARag_025-mus	muscle	
Abu-ARag_026	Abu-ARag_026-mus	muscle	
Abu-ARag_027	Abu-ARag_027-mus	muscle	
Abu-ARag_028	Abu-ARag_028-mus	muscle	
Abu-ARag_029	Abu-ARag_029-mus	muscle	
Abu-ARag_030	Abu-ARag_030-mus	muscle	
Abu-ARag_031	Abu-ARag_031-mus	muscle	
Abu-ARag_032	Abu-ARag_032-mus	muscle	
Abu-ARag_033	Abu-ARag_033-mus	muscle	
Abu-ARag_034	Abu-ARag_034-mus	muscle	
Abu-ARag_035	Abu-ARag_035-mus	muscle	
Abu-ARag_036	Abu-ARag_036-mus	muscle	
Abu-ARag_037	Abu-ARag_037-mus	muscle	
Abu-CPas_001	Abu-CPas_001-mus	muscle	
Abu-CPas_002	Abu-CPas_002-mus	muscle	
Abu-CPas_003	Abu-CPas_003-mus	muscle	
Abu-CPas_004	Abu-CPas_004-mus	muscle	
Abu-CPas_005	Abu-CPas_005-mus	muscle	
Abu-CPas_006	Abu-CPas_006-mus	muscle	
Abu-CPas_007	Abu-CPas_007-mus	muscle	
Abu-CPas_008	Abu-CPas_008-mus	muscle	
Abu-CPas_009	Abu-CPas_009-mus	muscle	
Abu-CPas_010	Abu-CPas_010-mus	muscle	
Abu-CPas_011	Abu-CPas_011-mus	muscle	
Abu-CPas_012	Abu-CPas_012-mus	muscle	
Abu-CPas_013	Abu-CPas_013-mus	muscle	
Abu-CPas_014	Abu-CPas_014-mus	muscle	
Abu-CPas_015	Abu-CPas_015-mus	muscle	
Abu-CPas_016	Abu-CPas_016-mus	muscle	
Abu-CPas_017	Abu-CPas_017-mus	muscle	
Abu-CPas_018	Abu-CPas_018-mus	muscle	
Abu-CPas_019	Abu-CPas_019-mus	muscle	
Abu-CPas_020	Abu-CPas_020-mus	muscle	
Abu-CPas_021	Abu-CPas_021-mus	muscle	
Abu-CPas_022	Abu-CPas_022-mus	muscle	
Abu-CPas_023	Abu-CPas_023-mus	muscle	
Abu-CPas_024	Abu-CPas_024-mus	muscle	
Abu-CPas_025	Abu-CPas_025-mus	muscle	
Abu-CPas_026	Abu-CPas_026-mus	muscle	
Abu-CPas_027	Abu-CPas_027-mus	muscle	
Abu-CPas_028	Abu-CPas_028-mus	muscle	
Abu-CPas_029	Abu-CPas_029-mus	muscle	
Abu-CPas_030	Abu-CPas_030-mus	muscle	
Abu-CPas_031	Abu-CPas_031-mus	muscle	
Abu-CPas_032	Abu-CPas_032-mus	muscle	
Abu-CPas_033	Abu-CPas_033-mus	muscle	
Abu-CPas_034	Abu-CPas_034-mus	muscle	
Abu-CPas_035	Abu-CPas_035-mus	muscle	
Abu-CPas_036	Abu-CPas_036-mus	muscle	
Abu-CPas_037	Abu-CPas_037-mus	muscle	
Abu-CPas_038	Abu-CPas_038-mus	muscle	
Abu-CPas_039	Abu-CPas_039-mus	muscle	
Abu-CPas_040	Abu-CPas_040-mus	muscle	
Abu-CPas_041	Abu-CPas_041-mus	muscle	
Abu-CPas_042	Abu-CPas_042-mus	muscle	
Abu-CPas_043	Abu-CPas_043-mus	muscle	
Abu-CPas_044	Abu-CPas_044-mus	muscle	
Abu-CPas_045	Abu-CPas_045-mus	muscle	
Abu-CPas_046	Abu-CPas_046-mus	muscle	
Abu-CPas_047	Abu-CPas_047-mus	muscle	
Abu-CPas_048	Abu-CPas_048-mus	muscle	
Abu-CPas_049	Abu-CPas_049-mus	muscle	
Abu-CPas_050	Abu-CPas_050-mus	muscle	
Abu-CPas_051	Abu-CPas_051-mus	muscle	
Abu-CPas_052	Abu-CPas_052-mus	muscle	
Abu-CPas_053	Abu-CPas_053-mus	muscle	
Abu-CPas_054	Abu-CPas_054-mus	muscle	
Abu-CPas_055	Abu-CPas_055-mus	muscle	
Abu-CPas_056	Abu-CPas_056-mus	muscle	
Abu-CPas_057	Abu-CPas_057-mus	muscle	
Abu-CPas_058	Abu-CPas_058-mus	muscle	
Abu-CPas_059	Abu-CPas_059-mus	muscle	
Abu-CPas_060	Abu-CPas_060-mus	muscle	
Abu-CPas_061	Abu-CPas_061-mus	muscle	
Abu-CPas_062	Abu-CPas_062-mus	muscle	
Abu-CPas_063	Abu-CPas_063-mus	muscle	
Abu-CPas_064	Abu-CPas_064-mus	muscle	
Abu-CPas_065	Abu-CPas_065-mus	muscle	
Abu-CPas_066	Abu-CPas_066-mus	muscle	
Abu-CPas_067	Abu-CPas_067-mus	muscle	
Abu-CPas_068	Abu-CPas_068-mus	muscle	
Abu-CPas_069	Abu-CPas_069-mus	muscle	
Abu-CPas_070	Abu-CPas_070-mus	muscle	
Abu-CPas_071	Abu-CPas_071-mus	muscle	
Abu-CPas_072	Abu-CPas_072-mus	muscle	
Abu-CPas_073	Abu-CPas_073-mus	muscle	
Abu-CPas_074	Abu-CPas_074-mus	muscle	
Abu-CPas_075	Abu-CPas_075-mus	muscle	
Abu-CPas_076	Abu-CPas_076-mus	muscle	
Abu-CPas_077	Abu-CPas_077-mus	muscle	
Abu-CPas_078	Abu-CPas_078-mus	muscle	
Abu-CPas_079	Abu-CPas_079-mus	muscle	
Abu-CPas_080	Abu-CPas_080-mus	muscle	
Abu-CPas_081	Abu-CPas_081-mus	muscle	
Abu-CPas_082	Abu-CPas_082-mus	muscle	
Abu-CPas_083	Abu-CPas_083-mus	muscle	
Abu-CPas_084	Abu-CPas_084-mus	muscle	
Abu-CPas_085	Abu-CPas_085-mus	muscle	
Abu-CPas_086	Abu-CPas_086-mus	muscle	
Abu-CPas_087	Abu-CPas_087-mus	muscle	
Abu-CPas_088	Abu-CPas_088-mus	muscle	
Abu-CPas_089	Abu-CPas_089-mus	muscle	
Abu-CPas_090	Abu-CPas_090-mus	muscle	
Abu-CPas_091	Abu-CPas_091-mus	muscle	
Abu-CPas_092	Abu-CPas_092-mus	muscle	
Abu-CPas_093	Abu-CPas_093-mus	muscle	
Abu-CPas_094	Abu-CPas_094-mus	muscle	
Abu-CPas_095	Abu-CPas_095-mus	muscle	
Abu-CPas_096	Abu-CPas_096-mus	muscle	
Abu-CPnd_001	Abu-CPnd_001-mus	muscle	
Abu-CPnd_002	Abu-CPnd_002-mus	muscle	
Abu-CPnd_003	Abu-CPnd_003-mus	muscle	
Abu-CPnd_004	Abu-CPnd_004-mus	muscle	
Abu-CPnd_005	Abu-CPnd_005-mus	muscle	
Abu-CPnd_006	Abu-CPnd_006-mus	muscle	
Abu-CPnd_007	Abu-CPnd_007-mus	muscle	
Abu-CPnd_008	Abu-CPnd_008-mus	muscle	
Abu-CPnd_009	Abu-CPnd_009-mus	muscle	
Abu-CPnd_010	Abu-CPnd_010-mus	muscle	
Abu-CPnd_011	Abu-CPnd_011-mus	muscle	
Abu-CPnd_012	Abu-CPnd_012-mus	muscle	
Abu-CPnd_013	Abu-CPnd_013-mus	muscle	
Abu-CPnd_014	Abu-CPnd_014-mus	muscle	
Abu-CPnd_015	Abu-CPnd_015-mus	muscle	
Abu-CPnd_016	Abu-CPnd_016-mus	muscle	
Abu-CPnd_017	Abu-CPnd_017-mus	muscle	
Abu-CPnd_018	Abu-CPnd_018-mus	muscle	
Abu-CPnd_019	Abu-CPnd_019-mus	muscle	
Abu-CPnd_020	Abu-CPnd_020-mus	muscle	
Abu-CPnd_021	Abu-CPnd_021-mus	muscle	
Abu-CPnd_022	Abu-CPnd_022-mus	muscle	
Abu-CPnd_023	Abu-CPnd_023-mus	muscle	
Abu-CPnd_024	Abu-CPnd_024-mus	muscle	
Abu-CPnd_025	Abu-CPnd_025-mus	muscle	
Abu-CPnd_026	Abu-CPnd_026-mus	muscle	
Abu-CPnd_027	Abu-CPnd_027-mus	muscle	
Abu-CPnd_028	Abu-CPnd_028-mus	muscle	
Abu-CPnd_029	Abu-CPnd_029-mus	muscle	
Abu-CPnd_030	Abu-CPnd_030-mus	muscle	
Abu-CPnd_031	Abu-CPnd_031-mus	muscle	
Abu-CPnd_032	Abu-CPnd_032-mus	muscle	
Abu-CPnd_033	Abu-CPnd_033-mus	muscle	
Abu-CPnd_034	Abu-CPnd_034-mus	muscle	
Abu-CPnd_035	Abu-CPnd_035-mus	muscle	
Abu-CPnd_036	Abu-CPnd_036-mus	muscle	
Abu-CPnd_037	Abu-CPnd_037-mus	muscle	
Abu-CPnd_038	Abu-CPnd_038-mus	muscle	
Abu-CPnd_039	Abu-CPnd_039-mus	muscle	
Abu-CPnd_040	Abu-CPnd_040-mus	muscle	
Abu-CPnd_041	Abu-CPnd_041-mus	muscle	
Abu-CPnd_042	Abu-CPnd_042-mus	muscle	
Abu-CPnd_043	Abu-CPnd_043-mus	muscle	
Abu-CPnd_044	Abu-CPnd_044-mus	muscle	
Abu-CPnd_045	Abu-CPnd_045-mus	muscle	
Abu-CPnd_046	Abu-CPnd_046-mus	muscle	
Abu-CPnd_047	Abu-CPnd_047-mus	muscle	
Abu-CPnd_048	Abu-CPnd_048-mus	muscle	
Abu-CPnd_049	Abu-CPnd_049-mus	muscle	
Abu-CPnd_050	Abu-CPnd_050-mus	muscle	
Abu-CPnd_051	Abu-CPnd_051-mus	muscle	
Abu-CPnd_052	Abu-CPnd_052-mus	muscle	
Abu-CPnd_053	Abu-CPnd_053-mus	muscle	
Abu-CPnd_054	Abu-CPnd_054-mus	muscle	
Abu-CPnd_055	Abu-CPnd_055-mus	muscle	
Abu-CPnd_056	Abu-CPnd_056-mus	muscle	
Abu-CPnd_057	Abu-CPnd_057-mus	muscle	
Abu-CPnd_058	Abu-CPnd_058-mus	muscle	
