Individual_ID	Extraction_ID	Storage_solution	Date_Subsampling	Subsampler	Date_Extracting	Tube_Stuffer	mg_Tissue_Extracted	Digestion_min	Extractor	Extraction_TubeID	PlateID	Elution_Buffer	num_elutions	Elution1_PlateID	Elution1_Plate_Column	Elution1_Plate_Row	Elution1_Total_volume_ul	Elution1_Vol_for_TAMUCC	Elution1_Vol_for_ODU	Elution1_nanodrop_ng_ul	Elution2_PlateID	Elution2_Plate_Column	Elution2_Plate_Row	Elution2_Total_volume_ul	Elution2_Vol_for_TAMUCC	Elution2_Vol_for_ODU	Elution2_nanodrop_ng_ul	Elution3_PlateID	Elution3_Plate_Column	Elution3_Plate_Row	Elution3_Total_volume_ul	Elution3_Vol_for_TAMUCC	Elution3_Vol_for_ODU	Elution3_nanodrop_ng_ul	Elution4_PlateID	Elution4_Plate_Column	Elution4_Plate_Row	Elution4_Total_volume_ul	Elution4_Vol_for_TAMUCC	Elution4_Vol_for_ODU	Elution4_nanodrop_ng_ul	Date_Gelled_ODU	ODU_Volume_Gelled_ul	ODU_Gel_Jockey	Elution1_Gel_Score_TAMUCC	Elution2_Gel_Score_TAMUCC	Elution3_Gel_Score_TAMUCC	Elution4_Gel_Score_TAMUCC	Elution_Used	Notes
Adu-AMat_067	Adu-AMat_067-Ex1	EtOH	2018-04-09T00:00:00Z	Maddy_Kenton	2018-04-10T00:00:00Z	Maddy_Kenton	20	NA	Maddy_Kenton	1	Adu-A_001	NA	2	Adu-A_001_E1	1	D	100	100	0	NA	Adu-A_001_E2	5	D	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adu-AMat_068	Adu-AMat_068-Ex1	EtOH	2018-04-09T00:00:00Z	Maddy_Kenton	2018-04-10T00:00:00Z	Maddy_Kenton	20	NA	Maddy_Kenton	2	Adu-A_001	NA	2	Adu-A_001_E1	1	C	100	100	0	NA	Adu-A_001_E2	5	C	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adu-AMat_069	Adu-AMat_069-Ex1	EtOH	2018-04-09T00:00:00Z	Maddy_Kenton	2018-04-10T00:00:00Z	Maddy_Kenton	20	NA	Maddy_Kenton	3	Adu-A_001	NA	2	Adu-A_001_E1	1	B	100	100	0	NA	Adu-A_001_E2	5	B	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adu-AMat_070	Adu-AMat_070-Ex1	EtOH	2018-04-09T00:00:00Z	Maddy_Kenton	2018-04-10T00:00:00Z	Maddy_Kenton	20	NA	Maddy_Kenton	4	Adu-A_001	NA	2	Adu-A_001_E1	1	A	100	100	0	NA	Adu-A_001_E2	5	A	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adu-AMat_071	Adu-AMat_071-Ex1	EtOH	2018-04-09T00:00:00Z	Maddy_Kenton	2018-04-10T00:00:00Z	Maddy_Kenton	20	NA	Maddy_Kenton	5	Adu-A_001	NA	2	Adu-A_001_E1	2	H	100	100	0	NA	Adu-A_001_E2	6	H	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adu-AMat_072	Adu-AMat_072-Ex1	EtOH	2018-04-09T00:00:00Z	Maddy_Kenton	2018-04-10T00:00:00Z	Maddy_Kenton	20	NA	Maddy_Kenton	6	Adu-A_001	NA	2	Adu-A_001_E1	2	G	100	100	0	NA	Adu-A_001_E2	6	G	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adu-AMat_073	Adu-AMat_073-Ex1	EtOH	2018-04-09T00:00:00Z	Maddy_Kenton	2018-04-10T00:00:00Z	Maddy_Kenton	20	NA	Maddy_Kenton	7	Adu-A_001	NA	2	Adu-A_001_E1	2	F	100	100	0	NA	Adu-A_001_E2	6	F	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adu-AMat_074	Adu-AMat_074-Ex1	EtOH	2018-04-09T00:00:00Z	Maddy_Kenton	2018-04-10T00:00:00Z	Maddy_Kenton	20	NA	Maddy_Kenton	8	Adu-A_001	NA	2	Adu-A_001_E1	2	E	100	100	0	NA	Adu-A_001_E2	6	E	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adu-AMat_075	Adu-AMat_075-Ex1	EtOH	2018-04-09T00:00:00Z	Maddy_Kenton	2018-04-10T00:00:00Z	Maddy_Kenton	20	NA	Maddy_Kenton	9	Adu-A_001	NA	2	Adu-A_001_E1	2	D	100	100	0	NA	Adu-A_001_E2	6	D	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adu-AMat_076	Adu-AMat_076-Ex1	EtOH	2018-04-09T00:00:00Z	Maddy_Kenton	2018-04-10T00:00:00Z	Maddy_Kenton	20	NA	Maddy_Kenton	10	Adu-A_001	NA	2	Adu-A_001_E1	2	C	100	100	0	NA	Adu-A_001_E2	6	C	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adu-AMat_077	Adu-AMat_077-Ex1	EtOH	2018-04-09T00:00:00Z	Maddy_Kenton	2018-04-10T00:00:00Z	Maddy_Kenton	20	NA	Maddy_Kenton	11	Adu-A_001	NA	2	Adu-A_001_E1	2	B	100	100	0	NA	Adu-A_001_E2	6	B	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adu-AMat_078	Adu-AMat_078-Ex1	EtOH	2018-04-09T00:00:00Z	Maddy_Kenton	2018-04-10T00:00:00Z	Maddy_Kenton	20	NA	Maddy_Kenton	12	Adu-A_001	NA	2	Adu-A_001_E1	2	A	100	100	0	NA	Adu-A_001_E2	6	A	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
