individual_id	tissue_id	extraction_id	storage_solution	date_subsampling	subsampler	date_extracting	tube_stuffer	mg_tissue_extracted	digestion_min	extractor	extraction_tubeid	plateid	elution_buffer	num_elutions	elution1_plateid	elution1_plate_column	elution1_plate_row	elution1_total_volume_ul	elution1_vol_for_tamucc	elution1_vol_for_odu	elution1_nanodrop_ng_ul	elution2_plateid	elution2_plate_column	elution2_plate_row	elution2_total_volume_ul	elution2_vol_for_tamucc	elution2_vol_for_odu	elution2_nanodrop_ng_ul	elution3_plateid	elution3_plate_column	elution3_plate_row	elution3_total_volume_ul	elution3_vol_for_tamucc	elution3_vol_for_odu	elution3_nanodrop_ng_ul	elution4_plateid	elution4_plate_column	elution4_plate_row	elution4_total_volume_ul	elution4_vol_for_tamucc	elution4_vol_for_odu	elution4_nanodrop_ng_ul	date_gelled_odu	odu_volume_gelled_ul	odu_gel_jockey	elution1_gel_score_tamucc	elution2_gel_score_tamucc	elution3_gel_score_tamucc	elution4_gel_score_tamucc	elution_used	notes
Abu-ADup_011	Abu-ADup_011-mus	Abu-ADup_011-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abu-ADup_012	Abu-ADup_012-mus	Abu-ADup_012-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abu-ADup_013	Abu-ADup_013-mus	Abu-ADup_013-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abu-ADup_014	Abu-ADup_014-mus	Abu-ADup_014-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abu-ADup_015	Abu-ADup_015-mus	Abu-ADup_015-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abu-ADup_016	Abu-ADup_016-mus	Abu-ADup_016-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Fixed Mislabelled Individual ID from Abu-ADup_015
Abu-ADup_017	Abu-ADup_017-mus	Abu-ADup_017-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Fixed Mislabelled Individual ID from Abu-ADup_015
Abu-ADup_018	Abu-ADup_018-mus	Abu-ADup_018-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abu-ADup_019	Abu-ADup_019-mus	Abu-ADup_019-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abu-ADup_020	Abu-ADup_020-mus	Abu-ADup_020-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
