gcl_sequence_id	pire_sequence_id	extraction_id
GmC01031	Gmi-CBat_031_Ex1	Gmi-CBat_031-Ex1
GmC01043	Gmi-CBat_043_Ex1	Gmi-CBat_043-Ex1
GmC01055	Gmi-CBat_055_Ex1	Gmi-CBat_055-Ex1
GmC01067	Gmi-CBat_067_Ex1	Gmi-CBat_067-Ex1
GmC01079	Gmi-CBat_079_Ex1	Gmi-CBat_079-Ex1
GmC01091	Gmi-CBat_091_Ex1	Gmi-CBat_091-Ex1
GmC01020	Gmi-CBat_020_Ex1	Gmi-CBat_020-Ex1
GmC01044	Gmi-CBat_044_Ex1	Gmi-CBat_044-Ex1
GmC01056	Gmi-CBat_056_Ex1	Gmi-CBat_056-Ex1
GmC01010	Gmi-CBat_010_Ex1	Gmi-CBat_010-Ex1
GmC01034	Gmi-CBat_034_Ex1	Gmi-CBat_034-Ex1
GmC01046	Gmi-CBat_046_Ex1	Gmi-CBat_046-Ex1
GmC01011	Gmi-CBat_011_Ex1	Gmi-CBat_011-Ex1
GmC01023	Gmi-CBat_023_Ex1	Gmi-CBat_023-Ex1
GmC01059	Gmi-CBat_059_Ex1	Gmi-CBat_059-Ex1
GmC01083	Gmi-CBat_083_Ex1	Gmi-CBat_083-Ex1
GmC01024	Gmi-CBat_024_Ex1	Gmi-CBat_024-Ex1
GmC01048	Gmi-CBat_048_Ex1	Gmi-CBat_048-Ex1
GmC01060	Gmi-CBat_060_Ex1	Gmi-CBat_060-Ex1
GmC01084	Gmi-CBat_084_Ex1	Gmi-CBat_084-Ex1
GmA01001	Gmi-AHam_001_Ex1	Gmi-AHam_001-Ex1
GmA01013	Gmi-AHam_013_Ex1	Gmi-AHam_013-Ex1
GmA01002	Gmi-AHam_002_Ex1	Gmi-AHam_002-Ex1
GmA01014	Gmi-AHam_014_Ex1	Gmi-AHam_014-Ex1
GmA01003	Gmi-AHam_003_Ex1	Gmi-AHam_003-Ex1
GmA01015	Gmi-AHam_015_Ex1	Gmi-AHam_015-Ex1
GmA01016	Gmi-AHam_016_Ex1	Gmi-AHam_016-Ex1
GmA01028	Gmi-AHam_028_Ex1	Gmi-AHam_028-Ex1
GmA01029	Gmi-AHam_029_Ex1	Gmi-AHam_029-Ex1
GmA01018	Gmi-AHam_018_Ex1	Gmi-AHam_018-Ex1
GmA01030	Gmi-AHam_030_Ex1	Gmi-AHam_030-Ex1
GmA01042	Gmi-AHam_042_Ex1	Gmi-AHam_042-Ex1
GmA01031	Gmi-AHam_031_Ex1	Gmi-AHam_031-Ex1
GmA01032	Gmi-AHam_032_Ex1	Gmi-AHam_032-Ex1
GmA01010	Gmi-AHam_010_Ex1	Gmi-AHam_010-Ex1
GmA01011	Gmi-AHam_011_Ex1	Gmi-AHam_011-Ex1
GmA01035	Gmi-AHam_035_Ex1	Gmi-AHam_035-Ex1
GmA01037	Gmi-AHam_037_Ex1	Gmi-AHam_037-Ex1
GmA01026	Gmi-AHam_026_Ex1	Gmi-AHam_026-Ex1
GmA01074	Gmi-AHam_074_Ex1	Gmi-AHam_074-Ex1
GmA01027	Gmi-AHam_027_Ex1	Gmi-AHam_027-Ex1
GmA01039	Gmi-AHam_039_Ex1	Gmi-AHam_039-Ex1
GmA01004	Gmi-AHam_004_Ex1	Gmi-AHam_004-Ex1
GmA01017	Gmi-AHam_017_Ex1	Gmi-AHam_017-Ex1
GmA01041	Gmi-AHam_041_Ex1	Gmi-AHam_041-Ex1
GmA01065	Gmi-AHam_065_Ex1	Gmi-AHam_065-Ex1
GmA01089	Gmi-AHam_089_Ex1	Gmi-AHam_089-Ex1
GmA01078	Gmi-AHam_078_Ex1	Gmi-AHam_078-Ex1
GmA01055	Gmi-AHam_055_Ex1	Gmi-AHam_055-Ex1
GmA01079	Gmi-AHam_079_Ex1	Gmi-AHam_079-Ex1
GmA01033	Gmi-AHam_033_Ex1	Gmi-AHam_033-Ex1
GmA01083	Gmi-AHam_083_Ex1	Gmi-AHam_083-Ex1
GmA01060	Gmi-AHam_060_Ex1	Gmi-AHam_060-Ex1
GmA02002	Gmi-ABas_002_Ex1	Gmi-ABas_002-Ex1
GmA02017	Gmi-ABas_017_Ex1	Gmi-ABas_017-Ex1
GmA02022	Gmi-ABas_022_Ex1	Gmi-ABas_022-Ex1
GmA02004	Gmi-ABas_004_Ex1	Gmi-ABas_004-Ex1
GmA02005	Gmi-ABas_005_Ex1_b	Gmi-ABas_005-Ex1
GmA02006	Gmi-ABas_006_Ex1_b	Gmi-ABas_006-Ex1
GmA02030	Gmi-ABas_030_Ex1_b	Gmi-ABas_030-Ex1
GmA02049	Gmi-ABas_049_Ex1	Gmi-ABas_049-Ex1
GmA02018	Gmi-ABas_018_Ex1	Gmi-ABas_018-Ex1
GmA02007	Gmi-ABas_007_Ex1	Gmi-ABas_007-Ex1
GmA02019	Gmi-ABas_019_Ex1	Gmi-ABas_019-Ex1
GmA02055	Gmi-ABas_055_Ex1	Gmi-ABas_055-Ex1
GmA02008	Gmi-ABas_008_Ex1	Gmi-ABas_008-Ex1
GmA02020	Gmi-ABas_020_Ex1	Gmi-ABas_020-Ex1
GmA02021	Gmi-ABas_021_Ex1	Gmi-ABas_021-Ex1
GmA02033	Gmi-ABas_033_Ex1	Gmi-ABas_033-Ex1
GmA02045	Gmi-ABas_045_Ex1	Gmi-ABas_045-Ex1
GmA02058	Gmi-ABas_058_Ex1	Gmi-ABas_058-Ex1
GmA02023	Gmi-ABas_023_Ex1	Gmi-ABas_023-Ex1
GmA02047	Gmi-ABas_047_Ex1	Gmi-ABas_047-Ex1
GmA02059	Gmi-ABas_059_Ex1	Gmi-ABas_059-Ex1
GmA02001	Gmi-ABas_001_Ex1_b	Gmi-ABas_001-Ex1
GmA02044	Gmi-ABas_044_Ex1_b	Gmi-ABas_044-Ex1
GmA02028	Gmi-ABas_028_Ex1_b	Gmi-ABas_028-Ex1
GmA02034	Gmi-ABas_034_Ex1_b	Gmi-ABas_034-Ex1
GmA02035	Gmi-ABas_035_Ex1_b	Gmi-ABas_035-Ex1
GmA02054	Gmi-ABas_054_Ex1_b	Gmi-ABas_054-Ex1
GmA02060	Gmi-ABas_060_Ex1_b	Gmi-ABas_060-Ex1
GmC02026	Gmi-CBas_026_Ex1	Gmi-CBas_026-Ex1
GmC02092	Gmi-CBas_092_Ex1	Gmi-CBas_092-Ex1
GmC02080	Gmi-CBas_080_Ex1	Gmi-CBas_080-Ex1
GmC02036	Gmi-CBas_036_Ex1	Gmi-CBas_036-Ex1
GmC02031	Gmi-CBas_031_Ex1	Gmi-CBas_031-Ex1
GmC02083	Gmi-CBas_083_Ex1	Gmi-CBas_083-Ex1
GmC02066	Gmi-CBas_066_Ex1	Gmi-CBas_066-Ex1
GmC02044	Gmi-CBas_044_Ex1	Gmi-CBas_044-Ex1
GmC02082	Gmi-CBas_082_Ex1	Gmi-CBas_082-Ex1
GmC02054	Gmi-CBas_054_Ex1	Gmi-CBas_054-Ex1
GmC02050	Gmi-CBas_050_Ex1	Gmi-CBas_050-Ex1
GmC02022	Gmi-CBas_022_Ex1	Gmi-CBas_022-Ex1
GmC02077	Gmi-CBas_077_Ex1	Gmi-CBas_077-Ex1
GmC02019	Gmi-CBas_019_Ex1	Gmi-CBas_019-Ex1
GmC02095	Gmi-CBas_095_Ex1	Gmi-CBas_095-Ex1
GmC02043	Gmi-CBas_043_Ex1	Gmi-CBas_043-Ex1
GmC02001	Gmi-CBas_001_Ex1	Gmi-CBas_001-Ex1
GmC02029	Gmi-CBas_029_Ex1	Gmi-CBas_029-Ex1
GmC02002	Gmi-CBas_002_Ex1	Gmi-CBas_002-Ex1
GmC02016	Gmi-CBas_016_Ex1	Gmi-CBas_016-Ex1
GmC02017	Gmi-CBas_017_Ex1	Gmi-CBas_017-Ex1
GmC02014	Gmi-CBas_014_Ex1	Gmi-CBas_014-Ex1
GmC02011	Gmi-CBas_011_Ex1	Gmi-CBas_011-Ex1
GmC02018	Gmi-CBas_018_Ex1	Gmi-CBas_018-Ex1
GmC02075	Gmi-CBas_075_Ex1	Gmi-CBas_075-Ex1
GmC02087	Gmi-CBas_087_Ex1	Gmi-CBas_087-Ex1
GmC02056	Gmi-CBas_056_Ex1	Gmi-CBas_056-Ex1
GmC02049	Gmi-CBas_049_Ex1	Gmi-CBas_049-Ex1
GmC02069	Gmi-CBas_069_Ex1	Gmi-CBas_069-Ex1
GmC02059	Gmi-CBas_059_Ex1	Gmi-CBas_059-Ex1
GmC02072	Gmi-CBas_072_Ex1	Gmi-CBas_072-Ex1
GmC02034	Gmi-CBas_034_Ex1	Gmi-CBas_034-Ex1
GmC02086	Gmi-CBas_086_Ex1	Gmi-CBas_086-Ex1
GmC02008	Gmi-CBas_008_Ex1	Gmi-CBas_008-Ex1
GmC02068	Gmi-CBas_068_Ex1	Gmi-CBas_068-Ex1
GmC02048	Gmi-CBas_048_Ex1	Gmi-CBas_048-Ex1
GmC02038	Gmi-CBas_038_Ex1	Gmi-CBas_038-Ex1
GmC02020	Gmi-CBas_020_Ex1	Gmi-CBas_020-Ex1
GmC02023	Gmi-CBas_023_Ex1	Gmi-CBas_023-Ex1
GmC02041	Gmi-CBas_041_Ex1	Gmi-CBas_041-Ex1
GmC02035	Gmi-CBas_035_Ex1	Gmi-CBas_035-Ex1
GmC02052	Gmi-CBas_052_Ex1	Gmi-CBas_052-Ex1
GmC02063	Gmi-CBas_063_Ex1	Gmi-CBas_063-Ex1
GmC02013	Gmi-CBas_013_Ex1	Gmi-CBas_013-Ex1
GmC02033	Gmi-CBas_033_Ex1	Gmi-CBas_033-Ex1
GmC02024	Gmi-CBas_024_Ex1	Gmi-CBas_024-Ex1
GmC02064	Gmi-CBas_064_Ex1	Gmi-CBas_064-Ex1
GmC02006	Gmi-CBas_006_Ex1	Gmi-CBas_006-Ex1
GmC02012	Gmi-CBas_012_Ex1	Gmi-CBas_012-Ex1
GmC02021	Gmi-CBas_021_Ex1	Gmi-CBas_021-Ex1
GmC02025	Gmi-CBas_025_Ex1	Gmi-CBas_025-Ex1
GmC02007	Gmi-CBas_007_Ex1	Gmi-CBas_007-Ex1
GmC02027	Gmi-CBas_027_Ex1	Gmi-CBas_027-Ex1
GmC02057	Gmi-CBas_057_Ex1	Gmi-CBas_057-Ex1
GmC02015	Gmi-CBas_015_Ex1	Gmi-CBas_015-Ex1
GmC02039	Gmi-CBas_039_Ex1	Gmi-CBas_039-Ex1
GmC01013	Gmi-CBat_013_Ex1	Gmi-CBat_013-Ex1
GmC01037	Gmi-CBat_037_Ex1	Gmi-CBat_037-Ex1
GmC01061	Gmi-CBat_061_Ex1	Gmi-CBat_061-Ex1
GmC01073	Gmi-CBat_073_Ex1	Gmi-CBat_073-Ex1
GmC01085	Gmi-CBat_085_Ex1	Gmi-CBat_085-Ex1
GmC01002	Gmi-CBat_002_Ex1	Gmi-CBat_002-Ex1
GmC01014	Gmi-CBat_014_Ex1	Gmi-CBat_014-Ex1
GmC01026	Gmi-CBat_026_Ex1	Gmi-CBat_026-Ex1
GmC01038	Gmi-CBat_038_Ex1	Gmi-CBat_038-Ex1
GmC01062	Gmi-CBat_062_Ex1	Gmi-CBat_062-Ex1
GmC01074	Gmi-CBat_074_Ex1	Gmi-CBat_074-Ex1
GmC01086	Gmi-CBat_086_Ex1	Gmi-CBat_086-Ex1
GmC01051	Gmi-CBat_051_Ex1	Gmi-CBat_051-Ex1
GmC01075	Gmi-CBat_075_Ex1	Gmi-CBat_075-Ex1
GmC01087	Gmi-CBat_087_Ex1	Gmi-CBat_087-Ex1
GmC01016	Gmi-CBat_016_Ex1	Gmi-CBat_016-Ex1
GmC01028	Gmi-CBat_028_Ex1	Gmi-CBat_028-Ex1
GmC01040	Gmi-CBat_040_Ex1	Gmi-CBat_040-Ex1
GmC01005	Gmi-CBat_005_Ex1	Gmi-CBat_005-Ex1
GmC01017	Gmi-CBat_017_Ex1	Gmi-CBat_017-Ex1
GmC01029	Gmi-CBat_029_Ex1	Gmi-CBat_029-Ex1
GmC01041	Gmi-CBat_041_Ex1	Gmi-CBat_041-Ex1
GmC01053	Gmi-CBat_053_Ex1	Gmi-CBat_053-Ex1
GmC01077	Gmi-CBat_077_Ex1	Gmi-CBat_077-Ex1
GmC01089	Gmi-CBat_089_Ex1	Gmi-CBat_089-Ex1
GmC01006	Gmi-CBat_006_Ex1	Gmi-CBat_006-Ex1
GmC01018	Gmi-CBat_018_Ex1	Gmi-CBat_018-Ex1
GmC01042	Gmi-CBat_042_Ex1	Gmi-CBat_042-Ex1
GmC01054	Gmi-CBat_054_Ex1	Gmi-CBat_054-Ex1
GmC01066	Gmi-CBat_066_Ex1	Gmi-CBat_066-Ex1
GmC01078	Gmi-CBat_078_Ex1	Gmi-CBat_078-Ex1
GmC01090	Gmi-CBat_090_Ex1	Gmi-CBat_090-Ex1
GmC01008	Gmi-CBat_008_Ex1	Gmi-CBat_008-Ex1
GmC01032	Gmi-CBat_032_Ex1	Gmi-CBat_032-Ex1
GmC01068	Gmi-CBat_068_Ex1	Gmi-CBat_068-Ex1
GmC01080	Gmi-CBat_080_Ex1	Gmi-CBat_080-Ex1
GmC01092	Gmi-CBat_092_Ex1	Gmi-CBat_092-Ex1
GmC01009	Gmi-CBat_009_Ex1	Gmi-CBat_009-Ex1
GmC01021	Gmi-CBat_021_Ex1	Gmi-CBat_021-Ex1
GmC01033	Gmi-CBat_033_Ex1	Gmi-CBat_033-Ex1
GmC01045	Gmi-CBat_045_Ex1	Gmi-CBat_045-Ex1
GmC01057	Gmi-CBat_057_Ex1	Gmi-CBat_057-Ex1
GmC01069	Gmi-CBat_069_Ex1	Gmi-CBat_069-Ex1
GmC01081	Gmi-CBat_081_Ex1	Gmi-CBat_081-Ex1
GmC01093	Gmi-CBat_093_Ex1	Gmi-CBat_093-Ex1
GmC01022	Gmi-CBat_022_Ex1	Gmi-CBat_022-Ex1
GmC01058	Gmi-CBat_058_Ex1	Gmi-CBat_058-Ex1
GmC01070	Gmi-CBat_070_Ex1	Gmi-CBat_070-Ex1
GmC01082	Gmi-CBat_082_Ex1	Gmi-CBat_082-Ex1
GmC01094	Gmi-CBat_094_Ex1	Gmi-CBat_094-Ex1
GmC01035	Gmi-CBat_035_Ex1	Gmi-CBat_035-Ex1
GmC01047	Gmi-CBat_047_Ex1	Gmi-CBat_047-Ex1
GmC01071	Gmi-CBat_071_Ex1	Gmi-CBat_071-Ex1
GmC01095	Gmi-CBat_095_Ex1	Gmi-CBat_095-Ex1
GmC01012	Gmi-CBat_012_Ex1	Gmi-CBat_012-Ex1
GmC01036	Gmi-CBat_036_Ex1	Gmi-CBat_036-Ex1
GmC01072	Gmi-CBat_072_Ex1	Gmi-CBat_072-Ex1
GmC01096	Gmi-CBat_096_Ex1	Gmi-CBat_096-Ex1
GmA0200101Acssl2	Gmi-ABas_001-Ex1-b-cssl2	Gmi-ABas_001-Ex1
GmA0200301Bcssl2	Gmi-ABas_003-Ex1-b-cssl2	Gmi-ABas_003-Ex1
GmA0200401Ccssl2	Gmi-ABas_004-Ex1-b-cssl2	Gmi-ABas_004-Ex1
GmA0200801Dcssl	Gmi-ABas_008-Ex1-b-cssl	Gmi-ABas_008-Ex1
GmA0200901Ecssl	Gmi-ABas_009-Ex1-b-cssl	Gmi-ABas_009-Ex1
GmA0201001Fcssl	Gmi-ABas_010-Ex1-b-cssl	Gmi-ABas_010-Ex1
GmA0201101Gcssl	Gmi-ABas_011-Ex1-b-cssl	Gmi-ABas_011-Ex1
GmA0201201Hcssl	Gmi-ABas_012-Ex1-b-cssl	Gmi-ABas_012-Ex1
GmA0201302Acssl	Gmi-ABas_013-Ex1-b-cssl	Gmi-ABas_013-Ex1
GmA0201402Bcssl	Gmi-ABas_014-Ex1-b-cssl	Gmi-ABas_014-Ex1
GmA0201502Ccssl	Gmi-ABas_015-Ex1-b-cssl	Gmi-ABas_015-Ex1
GmA0201602Dcssl	Gmi-ABas_016-Ex1-b-cssl	Gmi-ABas_016-Ex1
GmA0201702Ecssl2	Gmi-ABas_017-Ex1-b-cssl2	Gmi-ABas_017-Ex1
GmA0201802Fcssl2	Gmi-ABas_018-Ex1-b-cssl2	Gmi-ABas_018-Ex1
GmA0201902Gcssl2	Gmi-ABas_019-Ex1-b-cssl2	Gmi-ABas_019-Ex1
GmA0202202Hcssl2	Gmi-ABas_022-Ex1-b-cssl2	Gmi-ABas_022-Ex1
GmA0202403Acssl	Gmi-ABas_024-Ex1-b-cssl	Gmi-ABas_024-Ex1
GmA0202503Bcssl	Gmi-ABas_025-Ex1-b-cssl	Gmi-ABas_025-Ex1
GmA0202603Ccssl	Gmi-ABas_026-Ex1-b-cssl	Gmi-ABas_026-Ex1
GmA0202703Dcssl	Gmi-ABas_027-Ex1-b-cssl	Gmi-ABas_027-Ex1
GmA0202803Ecssl2	Gmi-ABas_028-Ex1-b-cssl2	Gmi-ABas_028-Ex1
GmA0202903Fcssl	Gmi-ABas_029-Ex1-b-cssl	Gmi-ABas_029-Ex1
GmA0203003Gcssl2	Gmi-ABas_030-Ex1-b-cssl2	Gmi-ABas_030-Ex1
GmA0203103Hcssl	Gmi-ABas_031-Ex1-b-cssl	Gmi-ABas_031-Ex1
GmA0203204Acssl	Gmi-ABas_032-Ex1-b-cssl	Gmi-ABas_032-Ex1
GmA0203304Bcssl2	Gmi-ABas_033-Ex1-b-cssl2	Gmi-ABas_033-Ex1
GmA0203404Ccssl2	Gmi-ABas_034-Ex1-b-cssl2	Gmi-ABas_034-Ex1
GmA0203504Dcssl2	Gmi-ABas_035-Ex1-b-cssl2	Gmi-ABas_035-Ex1
GmA0203604Ecssl	Gmi-ABas_036-Ex1-b-cssl	Gmi-ABas_036-Ex1
GmA0203704Fcssl	Gmi-ABas_037-Ex1-b-cssl	Gmi-ABas_037-Ex1
GmA0203804Gcssl	Gmi-ABas_038-Ex1-b-cssl	Gmi-ABas_038-Ex1
GmA0203904Hcssl	Gmi-ABas_039-Ex1-b-cssl	Gmi-ABas_039-Ex1
GmA0204005Acssl	Gmi-ABas_040-Ex1-b-cssl	Gmi-ABas_040-Ex1
GmA0204105Bcssl	Gmi-ABas_041-Ex1-b-cssl	Gmi-ABas_041-Ex1
GmA0204205Ccssl	Gmi-ABas_042-Ex1-b-cssl	Gmi-ABas_042-Ex1
GmA0204305Dcssl	Gmi-ABas_043-Ex1-b-cssl	Gmi-ABas_043-Ex1
GmA0204505Ecssl2	Gmi-ABas_045-Ex1-b-cssl2	Gmi-ABas_045-Ex1
GmA0204605Fcssl	Gmi-ABas_046-Ex1-b-cssl	Gmi-ABas_046-Ex1
GmA0204705Gcssl2	Gmi-ABas_047-Ex1-b-cssl2	Gmi-ABas_047-Ex1
GmA0204805Hcssl	Gmi-ABas_048-Ex1-b-cssl	Gmi-ABas_048-Ex1
GmA0204906Acssl2	Gmi-ABas_049-Ex1-b-cssl2	Gmi-ABas_049-Ex1
GmA0205006Bcssl	Gmi-ABas_050-Ex1-b-cssl	Gmi-ABas_050-Ex1
GmA0205106Ccssl	Gmi-ABas_051-Ex1-b-cssl	Gmi-ABas_051-Ex1
GmA0205206Dcssl	Gmi-ABas_052-Ex1-b-cssl	Gmi-ABas_052-Ex1
GmA0205306Ecssl	Gmi-ABas_053-Ex1-b-cssl	Gmi-ABas_053-Ex1
GmA0205506Fcssl2	Gmi-ABas_055-Ex1-b-cssl2	Gmi-ABas_055-Ex1
GmA0205606Gcssl	Gmi-ABas_056-Ex1-b-cssl	Gmi-ABas_056-Ex1
GmA0205706Hcssl	Gmi-ABas_057-Ex1-b-cssl	Gmi-ABas_057-Ex1
GmA0205807Acssl2	Gmi-ABas_058-Ex1-b-cssl2	Gmi-ABas_058-Ex1
GmA0205907Bcssl2	Gmi-ABas_059-Ex1-b-cssl2	Gmi-ABas_059-Ex1
GmA0206007Ccssl2	Gmi-ABas_060-Ex1-b-cssl2	Gmi-ABas_060-Ex1
GmA0206107Dcssl	Gmi-ABas_061-Ex1-b-cssl	Gmi-ABas_061-Ex1
GmC0100104Bcssl	Gmi-CBat_001-Ex1-cssl	Gmi-CBat_001-Ex1
GmC0100207Ccssl2	Gmi-CBat_002-Ex1-cssl2	Gmi-CBat_002-Ex1
GmC0100304Ccssl	Gmi-CBat_003-Ex1-cssl	Gmi-CBat_003-Ex1
GmC0100402Fcssl	Gmi-CBat_004-Ex1-cssl	Gmi-CBat_004-Ex1
GmC0100507Bcssl2	Gmi-CBat_005-Ex1-cssl2	Gmi-CBat_005-Ex1
GmC0100708Dcssl	Gmi-CBat_007-Ex1-cssl	Gmi-CBat_007-Ex1
GmC0101001Hcssl	Gmi-CBat_010-Ex1-cssl	Gmi-CBat_010-Ex1
GmC0101103Fcssl	Gmi-CBat_011-Ex1-cssl	Gmi-CBat_011-Ex1
GmC0101206Hcssl2	Gmi-CBat_012-Ex1-cssl2	Gmi-CBat_012-Ex1
GmC0101307Dcssl2	Gmi-CBat_013-Ex1-cssl2	Gmi-CBat_013-Ex1
GmC0101505Acssl	Gmi-CBat_015-Ex1-cssl	Gmi-CBat_015-Ex1
GmC0101801Bcssl2	Gmi-CBat_018-Ex1-cssl2	Gmi-CBat_018-Ex1
GmC0101904Gcssl	Gmi-CBat_019-Ex1-cssl	Gmi-CBat_019-Ex1
GmC0102002Hcssl	Gmi-CBat_020-Ex1-cssl	Gmi-CBat_020-Ex1
GmC0102106Gcssl2	Gmi-CBat_021-Ex1-cssl2	Gmi-CBat_021-Ex1
GmC0102205Ecssl2	Gmi-CBat_022-Ex1-cssl2	Gmi-CBat_022-Ex1
GmC0102301Ccssl	Gmi-CBat_023-Ex1-cssl	Gmi-CBat_023-Ex1
GmC0102403Ccssl	Gmi-CBat_024-Ex1-cssl	Gmi-CBat_024-Ex1
GmC0102508Ecssl	Gmi-CBat_025-Ex1-cssl	Gmi-CBat_025-Ex1
GmC0102704Ecssl	Gmi-CBat_027-Ex1-cssl	Gmi-CBat_027-Ex1
GmC0103004Dcssl	Gmi-CBat_030-Ex1-cssl	Gmi-CBat_030-Ex1
GmC0103103Hcssl	Gmi-CBat_031-Ex1-cssl	Gmi-CBat_031-Ex1
GmC0103403Acssl	Gmi-CBat_034-Ex1-cssl	Gmi-CBat_034-Ex1
GmC0103505Hcssl2	Gmi-CBat_035-Ex1-cssl2	Gmi-CBat_035-Ex1
GmC0103606Bcssl2	Gmi-CBat_036-Ex1-cssl2	Gmi-CBat_036-Ex1
GmC0103708Fcssl2	Gmi-CBat_037-Ex1-cssl2	Gmi-CBat_037-Ex1
GmC0103902Bcssl	Gmi-CBat_039-Ex1-cssl	Gmi-CBat_039-Ex1
GmC0104007Acssl2	Gmi-CBat_040-Ex1-cssl2	Gmi-CBat_040-Ex1
GmC0104206Dcssl2	Gmi-CBat_042-Ex1-cssl2	Gmi-CBat_042-Ex1
GmC0104303Ecssl	Gmi-CBat_043-Ex1-cssl	Gmi-CBat_043-Ex1
GmC0104402Ecssl	Gmi-CBat_044-Ex1-cssl	Gmi-CBat_044-Ex1
GmC0104601Gcssl	Gmi-CBat_046-Ex1-cssl	Gmi-CBat_046-Ex1
GmC0104707Fcssl2	Gmi-CBat_047-Ex1-cssl2	Gmi-CBat_047-Ex1
GmC0104802Ccssl	Gmi-CBat_048-Ex1-cssl	Gmi-CBat_048-Ex1
GmC0104903Bcssl	Gmi-CBat_049-Ex1-cssl	Gmi-CBat_049-Ex1
GmC0105003Dcssl	Gmi-CBat_050-Ex1-cssl	Gmi-CBat_050-Ex1
GmC0105105Gcssl2	Gmi-CBat_051-Ex1-cssl2	Gmi-CBat_051-Ex1
GmC0105208Bcssl	Gmi-CBat_052-Ex1-cssl	Gmi-CBat_052-Ex1
GmC0105604Fcssl	Gmi-CBat_056-Ex1-cssl	Gmi-CBat_056-Ex1
GmC0105806Acssl2	Gmi-CBat_058-Ex1-cssl2	Gmi-CBat_058-Ex1
GmC0105901Dcssl	Gmi-CBat_059-Ex1-cssl	Gmi-CBat_059-Ex1
GmC0106002Acssl	Gmi-CBat_060-Ex1-cssl	Gmi-CBat_060-Ex1
GmC0106108Acssl2	Gmi-CBat_061-Ex1-cssl2	Gmi-CBat_061-Ex1
GmC0106205Fcssl2	Gmi-CBat_062-Ex1-cssl2	Gmi-CBat_062-Ex1
GmC0106301Fcssl	Gmi-CBat_063-Ex1-cssl	Gmi-CBat_063-Ex1
GmC0106405Bcssl	Gmi-CBat_064-Ex1-cssl	Gmi-CBat_064-Ex1
GmC0106501Ecssl	Gmi-CBat_065-Ex1-cssl	Gmi-CBat_065-Ex1
GmC0106607Ecssl2	Gmi-CBat_066-Ex1-cssl2	Gmi-CBat_066-Ex1
GmC0106704Hcssl	Gmi-CBat_067-Ex1-cssl	Gmi-CBat_067-Ex1
GmC0107006Ecssl2	Gmi-CBat_070-Ex1-cssl2	Gmi-CBat_070-Ex1
GmC0107108Gcssl2	Gmi-CBat_071-Ex1-cssl2	Gmi-CBat_071-Ex1
GmC0107603Gcssl	Gmi-CBat_076-Ex1-cssl	Gmi-CBat_076-Ex1
GmC0107902Gcssl	Gmi-CBat_079-Ex1-cssl	Gmi-CBat_079-Ex1
GmC0108006Fcssl2	Gmi-CBat_080-Ex1-cssl2	Gmi-CBat_080-Ex1
GmC0108101Acssl2	Gmi-CBat_081-Ex1-cssl2	Gmi-CBat_081-Ex1
GmC0108206Ccssl2	Gmi-CBat_082-Ex1-cssl2	Gmi-CBat_082-Ex1
GmC0108305Ccssl	Gmi-CBat_083-Ex1-cssl	Gmi-CBat_083-Ex1
GmC0108402Dcssl	Gmi-CBat_084-Ex1-cssl	Gmi-CBat_084-Ex1
GmC0108804Acssl	Gmi-CBat_088-Ex1-cssl	Gmi-CBat_088-Ex1
GmC0109108Ccssl	Gmi-CBat_091-Ex1-cssl	Gmi-CBat_091-Ex1
GmC0109307Hcssl2	Gmi-CBat_093-Ex1-cssl2	Gmi-CBat_093-Ex1
GmC0109407Gcssl2	Gmi-CBat_094-Ex1-cssl2	Gmi-CBat_094-Ex1
GmC0109505Dcssl2	Gmi-CBat_095-Ex1-cssl2	Gmi-CBat_095-Ex1
GmC0109608Hcssl2	Gmi-CBat_096-Ex1-cssl2	Gmi-CBat_096-Ex1
GmA0100101Dcssl2	Gmi-AHam_001-Ex1-cssl2	Gmi-AHam_001-Ex1
GmA0100201Ecssl2	Gmi-AHam_002-Ex1-cssl2	Gmi-AHam_002-Ex1
GmA0100504Bcssl	Gmi-AHam_005-Ex1-cssl	Gmi-AHam_005-Ex1
GmA0100604Ecssl	Gmi-AHam_006-Ex1-cssl	Gmi-AHam_006-Ex1
GmA0100705Acssl	Gmi-AHam_007-Ex1-cssl	Gmi-AHam_007-Ex1
GmA0100805Fcssl	Gmi-AHam_008-Ex1-cssl	Gmi-AHam_008-Ex1
GmA0100906Ecssl	Gmi-AHam_009-Ex1-cssl	Gmi-AHam_009-Ex1
GmA0101208Hcssl	Gmi-AHam_012-Ex1-cssl	Gmi-AHam_012-Ex1
GmA0101301Acssl2	Gmi-AHam_013-Ex1-cssl2	Gmi-AHam_013-Ex1
GmA0101501Gcssl2	Gmi-AHam_015-Ex1-cssl2	Gmi-AHam_015-Ex1
GmA0101601Ccssl2	Gmi-AHam_016-Ex1-cssl2	Gmi-AHam_016-Ex1
GmA0101905Bcssl	Gmi-AHam_019-Ex1-cssl	Gmi-AHam_019-Ex1
GmA0102005Gcssl	Gmi-AHam_020-Ex1-cssl	Gmi-AHam_020-Ex1
GmA0102106Fcssl	Gmi-AHam_021-Ex1-cssl	Gmi-AHam_021-Ex1
GmA0102207Dcssl	Gmi-AHam_022-Ex1-cssl	Gmi-AHam_022-Ex1
GmA0102308Ccssl	Gmi-AHam_023-Ex1-cssl	Gmi-AHam_023-Ex1
