index	date_processed	species	xray_kv	xray_ua	xray_exposure_seconds	distance_source_sensor	distance_xxx_platform	frame_id	xray_file_base_name	photo_file_name	specimen_position	tissue_id	individual_id	collection	lot_id	id_lot_description	xray_technician_names	data_entry_name	notes_lab	notes	correction_applied	correction_id	correction_details	correction_date
398	9/15/2025	Spratelloides delicatulus	40	180	10			101.5	sde_x-ray_101.5	P9153156.ORF	1	Sde-C-0294-E-mus	Sde-CBau_089	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Kevin Labrador; Chris Bird	Chris Bird			FALSE			
399	9/15/2025	Spratelloides delicatulus	40	180	10			101.5	sde_x-ray_101.5	P9153156.ORF	2	Sde-C-0293-E-mus	Sde-CBau_088	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Kevin Labrador; Chris Bird	Chris Bird			FALSE			
400	9/15/2025	Spratelloides delicatulus	40	180	5			102	sde_x-ray_102	P9153157.ORF	1	Sde-C-0256-E-mus	Sde-CBau_051	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Kevin Labrador; Chris Bird	Chris Bird			FALSE			
401	9/15/2025	Spratelloides delicatulus	40	180	5			102	sde_x-ray_102	P9153157.ORF	2	Sde-C-0297-E-mus	Sde-CBau_092	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Kevin Labrador; Chris Bird	Chris Bird			FALSE			
402	9/15/2025	Spratelloides delicatulus	40	180	5			102	sde_x-ray_102	P9153157.ORF	3	Sde-C-0281-E-mus	Sde-CBau_076	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Kevin Labrador; Chris Bird	Chris Bird			FALSE			
403	9/15/2025	Spratelloides delicatulus	40	180	5			102	sde_x-ray_102	P9153157.ORF	4	Sde-C-0265-E-mus	Sde-CBau_060	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Kevin Labrador; Chris Bird	Chris Bird			FALSE			
404	9/15/2025	Spratelloides delicatulus	40	180	5			103	sde_x-ray_103	P9153158.ORF	1	Sde-C-0269-E-mus	Sde-CBau_064	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Mariana Dehasque; Jason Selwyn; Chris Bird	Chris Bird			FALSE			
405	9/15/2025	Spratelloides delicatulus	40	180	5			103	sde_x-ray_103	P9153158.ORF	2	Sde-C-0260-E-mus	Sde-CBau_055	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Mariana Dehasque; Jason Selwyn; Chris Bird	Chris Bird			FALSE			
406	9/15/2025	Spratelloides delicatulus	40	180	5			103	sde_x-ray_103	P9153158.ORF	3	Sde-C-0267-E-mus	Sde-CBau_062	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Mariana Dehasque; Jason Selwyn; Chris Bird	Chris Bird			FALSE			
407	9/15/2025	Spratelloides delicatulus	40	180	5			103	sde_x-ray_103	P9153158.ORF	4	Sde-C-0261-E-mus	Sde-CBau_056	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Mariana Dehasque; Jason Selwyn; Chris Bird	Chris Bird			FALSE			
408	9/15/2025	Spratelloides delicatulus	40	180	5			103	sde_x-ray_103	P9153158.ORF	5	Sde-C-0273-E-mus	Sde-CBau_068	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Mariana Dehasque; Jason Selwyn; Chris Bird	Chris Bird			FALSE			
409	9/15/2025	Spratelloides delicatulus	40	180	5			104	sde_x-ray_104	P9153161.ORF	1	Sde-C-0285-E-mus	Sde-CBau_080	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Mariana Dehasque; Jason Selwyn; Chris Bird	Chris Bird			FALSE			
410	9/15/2025	Spratelloides delicatulus	40	180	5			104	sde_x-ray_104	P9153161.ORF	2	Sde-C-0287-E-mus	Sde-CBau_082	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Mariana Dehasque; Jason Selwyn; Chris Bird	Chris Bird			FALSE			
411	9/15/2025	Spratelloides delicatulus	40	180	5			104	sde_x-ray_104	P9153161.ORF	3	Sde-C-0266-E-mus	Sde-CBau_061	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Mariana Dehasque; Jason Selwyn; Chris Bird	Chris Bird			FALSE			
412	9/15/2025	Spratelloides delicatulus	40	180	5			104	sde_x-ray_104	P9153161.ORF	4	Sde-C-0283-E-mus	Sde-CBau_078	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Mariana Dehasque; Jason Selwyn; Chris Bird	Chris Bird			FALSE			
413	9/15/2025	Spratelloides delicatulus	40	180	5			104	sde_x-ray_104	P9153161.ORF	5	Sde-C-0270-E-mus	Sde-CBau_065	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Mariana Dehasque; Jason Selwyn; Chris Bird	Chris Bird			FALSE			
414	9/15/2025	Spratelloides delicatulus	40	180	5			105	sde_x-ray_105	P9153162.ORF	1	Sde-C-0257-E-mus	Sde-CBau_052	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Mariana Dehasque; Jason Selwyn; Chris Bird	Chris Bird			FALSE			
415	9/15/2025	Spratelloides delicatulus	40	180	5			105	sde_x-ray_105	P9153162.ORF	2	Sde-C-0291-E-mus	Sde-CBau_086	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Mariana Dehasque; Jason Selwyn; Chris Bird	Chris Bird			FALSE			
416	9/15/2025	Spratelloides delicatulus	40	180	5			105	sde_x-ray_105	P9153162.ORF	3	Sde-C-0258-E-mus	Sde-CBau_053	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Mariana Dehasque; Jason Selwyn; Chris Bird	Chris Bird			FALSE			
417	9/15/2025	Spratelloides delicatulus	40	180	5			105	sde_x-ray_105	P9153162.ORF	4	Sde-C-0292-E-mus	Sde-CBau_087	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Mariana Dehasque; Jason Selwyn; Chris Bird	Chris Bird			FALSE			
418	9/15/2025	Spratelloides delicatulus	40	180	5			105	sde_x-ray_105	P9153162.ORF	5	Sde-C-0295-E-mus	Sde-CBau_090	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Mariana Dehasque; Jason Selwyn; Chris Bird	Chris Bird			FALSE			
419	9/15/2025	Spratelloides delicatulus	40	180	5			106	sde_x-ray_106	P9153163.ORF	1	Sde-C-0259-E-mus	Sde-CBau_054	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Mariana Dehasque; Jason Selwyn; Chris Bird	Chris Bird			FALSE			
420	9/15/2025	Spratelloides delicatulus	40	180	5			106	sde_x-ray_106	P9153163.ORF	2	Sde-C-0263-E-mus	Sde-CBau_058	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Mariana Dehasque; Jason Selwyn; Chris Bird	Chris Bird			FALSE			
421	9/15/2025	Spratelloides delicatulus	40	180	5			106	sde_x-ray_106	P9153163.ORF	3	Sde-C-0280-E-mus	Sde-CBau_075	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Mariana Dehasque; Jason Selwyn; Chris Bird	Chris Bird			FALSE			
422	9/15/2025	Spratelloides delicatulus	40	180	5			107	sde_x-ray_107	P9153164.ORF	1	Sde-C-0279-E-mus	Sde-CBau_074	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Mariana Dehasque; Jason Selwyn; Chris Bird	Chris Bird			FALSE			
423	9/15/2025	Spratelloides delicatulus	40	180	5			107	sde_x-ray_107	P9153164.ORF	2	Sde-C-0274-E-mus	Sde-CBau_069	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Mariana Dehasque; Jason Selwyn; Chris Bird	Chris Bird			FALSE			
424	9/15/2025	Spratelloides delicatulus	40	180	5			107	sde_x-ray_107	P9153164.ORF	3	Sde-C-0272-E-mus	Sde-CBau_067	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Mariana Dehasque; Jason Selwyn; Chris Bird	Chris Bird			FALSE			
425	9/15/2025	Spratelloides delicatulus	40	180	5			107	sde_x-ray_107	P9153164.ORF	4	Sde-C-0264-E-mus	Sde-CBau_059	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Mariana Dehasque; Jason Selwyn; Chris Bird	Chris Bird			FALSE			
426	9/15/2025	Spratelloides delicatulus	40	180	5			108	sde_x-ray_108	P9153165.ORF	1	Sde-C-0300-E-mus	Sde-CBau_095	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Mariana Dehasque; Jason Selwyn; Chris Bird	Chris Bird			FALSE			
427	9/15/2025	Spratelloides delicatulus	40	180	5			108	sde_x-ray_108	P9153165.ORF	2	Sde-C-0305-E-mus	Sde-CBau_100	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Mariana Dehasque; Jason Selwyn; Chris Bird	Chris Bird			FALSE			
428	9/15/2025	Spratelloides delicatulus	40	180	5			108	sde_x-ray_108	P9153165.ORF	3	Sde-C-0307-E-mus	Sde-CBau_102	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Mariana Dehasque; Chris Bird	Chris Bird			FALSE			
429	9/15/2025	Spratelloides delicatulus	40	180	5			108	sde_x-ray_108	P9153165.ORF	4	Sde-C-0302-E-mus	Sde-CBau_097	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Mariana Dehasque; Chris Bird	Chris Bird			FALSE			
430	9/15/2025	Spratelloides delicatulus	40	180	5			109	sde_x-ray_109	P9153167.ORF	1	Sde-C-0299-E-mus	Sde-CBau_094	nsf-deb-spratelloidesdelicatulus-2024-2025	BAU-2025-01_01		Mariana Dehasque; Chris Bird	Chris Bird			FALSE			
