index	date_processed	species	xray_kV	xray_uA	xray_exposure_seconds	distance_source_sensor	distance_XXX_platform	frame_id	xray_file_base_name	photo_file_name	specimen_position	tissue_id	individual_id	collection	lot_id	id_lot_description	xray_technician_names	data_entry_name	notes_lab	notes
1	12/11/2024	Spratelloides delicatulus	40	180	10			1	sde_xray_001	20241211_113803.jpg	1	Sde-C-0111-E_mus	Sde-CMat_107	nsf-deb-bluesprat-2024-2025	MAT-2024-05_01		Kent Carpenter; Kevin Labrador	Chris Bird		
2	12/11/2024	Spratelloides delicatulus	40	180	10			1	sde_xray_001	20241211_113803.jpg	2	Sde-AMat_083_mus	Sde-AMat_083	usnm-albatross	138966	usnm_original	Kent Carpenter; Kevin Labrador	Chris Bird		
3	12/11/2024	Spratelloides delicatulus	40	180	10			1	sde_xray_001	20241211_113803.jpg	3	Sde-C-0122-E_mus	Sde-CMat_118	nsf-deb-bluesprat-2024-2025	MAT-2024-05_01		Kent Carpenter; Kevin Labrador	Chris Bird		
4	12/11/2024	Spratelloides delicatulus	40	180	10			1	sde_xray_001	20241211_113803.jpg	4	Sde-AMat_093_mus	Sde-AMat_093	usnm-albatross	138966	usnm_original	Kent Carpenter; Kevin Labrador	Chris Bird		
5	12/11/2024	Spratelloides delicatulus	40	180	10			2	sde_xray_002	20241211_115702.jpg	1	Sde-C-0132-E_mus	Sde-CMat_128	nsf-deb-bluesprat-2024-2025	MAT-2024-05_01		Kent Carpenter; Kevin Labrador	Chris Bird		
6	12/11/2024	Spratelloides delicatulus	40	180	10			2	sde_xray_002	20241211_115702.jpg	2	Sde-AMat_091_mus	Sde-AMat_091	usnm-albatross	138966	usnm_original	Kent Carpenter; Kevin Labrador	Chris Bird		
7	12/11/2024	Spratelloides delicatulus	40	180	10			2	sde_xray_002	20241211_115702.jpg	3	Sde-C-0136-E_mus	Sde-CMat_132	nsf-deb-bluesprat-2024-2025	MAT-2024-05_01		Kent Carpenter; Kevin Labrador	Chris Bird		
8	12/11/2024	Spratelloides delicatulus	40	180	10			2	sde_xray_002	20241211_115702.jpg	4	Sde-AMat_094_mus	Sde-AMat_094	usnm-albatross	138966	usnm_original	Kent Carpenter; Kevin Labrador	Chris Bird		
9	12/11/2024	Spratelloides delicatulus	40	180	10			3	sde_xray_003	20241211_125801.jpg	1	Sde-C-0127-E_mus	Sde-CMat_123	nsf-deb-bluesprat-2024-2025	MAT-2024-05_01		Kent Carpenter; Kevin Labrador	Chris Bird		
10	12/11/2024	Spratelloides delicatulus	40	180	10			3	sde_xray_003	20241211_125801.jpg	2	Sde-AMat_088_mus	Sde-AMat_088	usnm-albatross	138966	usnm_original	Kent Carpenter; Kevin Labrador	Chris Bird		
11	12/11/2024	Spratelloides delicatulus	40	180	10			3	sde_xray_003	20241211_125801.jpg	3	Sde-C-0105-E_mus	Sde-CMat_101	nsf-deb-bluesprat-2024-2025	MAT-2024-05_01		Kent Carpenter; Kevin Labrador	Chris Bird		
12	12/11/2024	Spratelloides delicatulus	40	180	10			3	sde_xray_003	20241211_125801.jpg	4	Sde-AMat_095_mus	Sde-AMat_095	usnm-albatross	138966	usnm_original	Kent Carpenter; Kevin Labrador	Chris Bird		
13	12/11/2024	Spratelloides delicatulus	40	180	10			4	sde_xray_004	20241211_130903.jpg	1	Sde-C-0126-E_mus	Sde-CMat_122	nsf-deb-bluesprat-2024-2025	MAT-2024-05_01		Kent Carpenter; Kevin Labrador	Chris Bird		
14	12/11/2024	Spratelloides delicatulus	40	180	10			4	sde_xray_004	20241211_130903.jpg	2	Sde-AMat_087_mus	Sde-AMat_087	usnm-albatross	138966	usnm_original	Kent Carpenter; Kevin Labrador	Chris Bird		
15	12/11/2024	Spratelloides delicatulus	40	180	10			4	sde_xray_004	20241211_130903.jpg	3	Sde-C-0109-E_mus	Sde-CMat_105	nsf-deb-bluesprat-2024-2025	MAT-2024-05_01		Kent Carpenter; Kevin Labrador	Chris Bird		
16	12/11/2024	Spratelloides delicatulus	40	180	10			4	sde_xray_004	20241211_130903.jpg	4	Sde-AMat_092_mus	Sde-AMat_092	usnm-albatross	138966	usnm_original	Kent Carpenter; Kevin Labrador	Chris Bird		
