lot_id	site_id	match_id	collection_site	latitude	longitude	barangay	local_government_unit	province	region	island_group	notes	correction_applied	correction_id	correction_details	correction_date
TLK-2024-08_01	Tlk	Sac	Taluksangay	6.953627	122.183942	Taluksangay	Zamboanga City	Zamboanga del Sur	Zamboanga Peninsula	Mindanao		FALSE			
MAT-2024-05_01	Mat	MatB	Matnog Bay	12.586108	124.087275	Camcaman	Matnog	Sorsogon	Bicol Region	Luzon		FALSE			
