species_valid_name	lot_id	individual_id	field_id	new_usnm	usnm_biorepository	species_id_method	species_id_person	species_id_notes	species_id_year	species_id_month	species_id_day	species_id_date_originallyentered	notes	correction_applied	correction_id	correction_details	correction_date
Hypoatherina_temminckii	136819	Hte-AMat_089				Morphology	Eric_Garcia						Reidentified by EG. Data entered by JDS. See github issue 56	FALSE			
Hypoatherina_temminckii	136819	Hte-AMat_090				Morphology	Eric_Garcia						Reidentified by EG. Data entered by JDS. See github issue 56	FALSE			
Hypoatherina_temminckii	136819	Hte-AMat_091				Morphology	Eric_Garcia						Reidentified by EG. Data entered by JDS. See github issue 56	FALSE			
Hypoatherina_temminckii	136819	Hte-AMat_092				Morphology	Eric_Garcia						Reidentified by EG. Data entered by JDS. See github issue 56	FALSE			
Hypoatherina_temminckii	136819	Hte-AMat_093				Morphology	Eric_Garcia						Reidentified by EG. Data entered by JDS. See github issue 56	FALSE			
Hypoatherina_temminckii	136819	Hte-AMat_094				Morphology	Eric_Garcia						Reidentified by EG. Data entered by JDS. See github issue 56	FALSE			
Hypoatherina_temminckii	136819	Hte-AMat_095				Morphology	Eric_Garcia						Reidentified by EG. Data entered by JDS. See github issue 56	FALSE			
Hypoatherina_temminckii	136819	Hte-AMat_096				Morphology	Eric_Garcia						Reidentified by EG. Data entered by JDS. See github issue 56	FALSE			
Hypoatherina_temminckii	136819	Hte-AMat_097				Morphology	Eric_Garcia						Reidentified by EG. Data entered by JDS. See github issue 56	FALSE			
Hypoatherina_temminckii	136819	Hte-AMat_098				Morphology	Eric_Garcia						Reidentified by EG. Data entered by JDS. See github issue 56	FALSE			
Hypoatherina_temminckii	136819	Hte-AMat_099				Morphology	Eric_Garcia						Reidentified by EG. Data entered by JDS. See github issue 56	FALSE			
Hypoatherina_temminckii	136819	Hte-AMat_100				Morphology	Eric_Garcia						Reidentified by EG. Data entered by JDS. See github issue 56	FALSE			
Hypoatherina_temminckii	136819	Hte-AMat_101				Morphology	Eric_Garcia						Reidentified by EG. Data entered by JDS. See github issue 56	FALSE			
Hypoatherina_temminckii	136819	Hte-AMat_102				Morphology	Eric_Garcia						Reidentified by EG. Data entered by JDS. See github issue 56	FALSE			
Hypoatherina_temminckii	136819	Hte-AMat_103				Morphology	Eric_Garcia						Reidentified by EG. Data entered by JDS. See github issue 56	FALSE			
Hypoatherina_temminckii	136819	Hte-AMat_104				Morphology	Eric_Garcia						Reidentified by EG. Data entered by JDS. See github issue 56	FALSE			
Hypoatherina_temminckii	136819	Hte-AMat_105				Morphology	Eric_Garcia						Reidentified by EG. Data entered by JDS. See github issue 56	FALSE			
Hypoatherina_temminckii	136819	Hte-AMat_106				Morphology	Eric_Garcia						Reidentified by EG. Data entered by JDS. See github issue 56	FALSE			
Hypoatherina_temminckii	136819	Hte-AMat_107				Morphology	Eric_Garcia						Reidentified by EG. Data entered by JDS. See github issue 56	FALSE			
Hypoatherina_temminckii	136819	Hte-AMat_108				Morphology	Eric_Garcia						Reidentified by EG. Data entered by JDS. See github issue 56	FALSE			
Hypoatherina_temminckii	136819	Hte-AMat_109				Morphology	Eric_Garcia						Reidentified by EG. Data entered by JDS. See github issue 56	FALSE			
Hypoatherina_temminckii	136819	Hte-AMat_110				Morphology	Eric_Garcia						Reidentified by EG. Data entered by JDS. See github issue 56	FALSE			
Hypoatherina_temminckii	136819	Hte-AMat_111				Morphology	Eric_Garcia						Reidentified by EG. Data entered by JDS. See github issue 56	FALSE			
Hypoatherina_temminckii	136819	Hte-AMat_112				Morphology	Eric_Garcia						Reidentified by EG. Data entered by JDS. See github issue 56	FALSE			
Hypoatherina_temminckii	136819	Hte-AMat_113				Morphology	Eric_Garcia						Reidentified by EG. Data entered by JDS. See github issue 56	FALSE			
Hypoatherina_temminckii	136819	Hte-AMat_114				Morphology	Eric_Garcia						Reidentified by EG. Data entered by JDS. See github issue 56	FALSE			
