unique_shipment_id	Date_Shipped_by_ODU	Shipment_ID	Species_EraSite_Individuals_Extraction/tissue	Carrier	Tracking_number	Date_Received_TAMUCC	Item_Type	Plate_Box_ID	Plate_ID_1	Plate_ID_2	Plate_ID_3	Plate_ID_4	shipment_num	filter_out_this_row	Notes
2018_4_19_n1_elution-Adu-A_001	2018-04-19T00:00:00Z	2018_4_19_n1	Adu-AMat_Ex1	FedEx	876934220500	2018-04-20T00:00:00Z	elution	Adu-A_001	Adu-A_001_E1	Adu-A_001_E2	NA	NA	NA	NA	NA
2018_4_19_n1_elution-Adu-A_006	2018-04-19T00:00:00Z	2018_4_19_n1	Adu-ATaw_Ex1	FedEx	876934220500	2018-04-20T00:00:00Z	elution	Adu-A_006	Adu-A_006_E1	Adu-A_006_E2	NA	NA	NA	NA	NA
2018_4_19_n1_elution-Adu-C_001	2018-04-19T00:00:00Z	2018_4_19_n1	Adu-CMat_Ex1	FedEx	876934220500	2018-04-20T00:00:00Z	elution	Adu-C_001	Adu-C_001_E1	Adu-C_001_E2	Adu-C_001_E3	NA	NA	NA	NA
2018_4_19_n1_elution-Adu-C_002	2018-04-19T00:00:00Z	2018_4_19_n1	Adu-CGal_Ex1	FedEx	876934220500	2018-04-20T00:00:00Z	elution	Adu-C_002	Adu-C_002_E1	Adu-C_002_E2	Adu-C_002_E3	NA	NA	NA	NA
2018_05_13_n2_elution-Adu-A_002	2018-05-13T00:00:00Z	2018_05_13_n2	Adu-AMat_Ex2	FedEx	NA	2018-05-14T00:00:00Z	elution	Adu-A_002	Adu-A_001_E1	Adu-A_001_E2	NA	NA	NA	NA	NA
2018_05_13_n2_elution-Adu-A_003	2018-05-13T00:00:00Z	2018_05_13_n2	Adu-AGal_Ex1	FedEx	NA	2018-05-14T00:00:00Z	elution	Adu-A_003	Adu-A_003_E1	Adu-A_003_E2	NA	NA	NA	NA	NA
2018_06_14_n3_elution-Adu-A_005	2018-06-14T00:00:00Z	2018_06_14_n3	Adu-ATaw_Ex2	FedEx	800894546350	2018-06-15T00:00:00Z	elution	Adu-A_005	Adu-A_005_E1	NA	NA	NA	NA	NA	NA
2018_06_14_n3_elution-Adu-A_007	2018-06-14T00:00:00Z	2018_06_14_n3	Adu-AMvi_Ex1	FedEx	800894546350	2018-06-15T00:00:00Z	elution	Adu-A_007	Adu-A_007_E1	Adu-A_007_E2	NA	NA	NA	NA	NA
2018_06_14_n3_elution-Adu-A_008	2018-06-14T00:00:00Z	2018_06_14_n3	Adu-ABus_Ex1	FedEx	800894546350	2018-06-15T00:00:00Z	elution	Adu-A_008	Adu-A_008_E1	Adu-A_008_E2	NA	NA	NA	NA	NA
2018_06_14_n3_elution-Adu-A_009	2018-06-14T00:00:00Z	2018_06_14_n3	Adu-ABat_Ex1	FedEx	800894546350	2018-06-15T00:00:00Z	elution	Adu-A_009	Adu-A_009_E1	Adu-A_009_E2	NA	NA	NA	NA	NA
2018_06_14_n3_elution-Adu-A_010	2018-06-14T00:00:00Z	2018_06_14_n3	Adu-ALin_Ex1	FedEx	800894546350	2018-06-15T00:00:00Z	elution	Adu-A_010	Adu-A_010_E1	Adu-A_010_E2	NA	NA	NA	NA	NA
2018_06_26_n4_elution-Adu-C_004	2018-06-26T00:00:00Z	2018_06_26_n4	Adu-CGal_Ex2	FedEx	800894546540	2018-06-27T00:00:00Z	elution	Adu-C_004	Adu-C_002_E1	Adu-C_002_E2	NA	NA	NA	NA	NA
2018_06_26_n4_elution-Adu-C_003	2018-06-26T00:00:00Z	2018_06_26_n4	Adu-CMat_Ex2	FedEx	800894546540	2018-06-27T00:00:00Z	elution	Adu-C_003	Adu-C_001_E1	Adu-C_001_E2	Adu-C_001_E3	NA	NA	NA	NA
2018_06_26_n4_elution-Adu-A_004	2018-06-26T00:00:00Z	2018_06_26_n4	Adu-AGal_Ex2	FedEx	800894546540	2018-06-27T00:00:00Z	elution	Adu-A_004	Adu-A_003_E1	Adu-A_003_E2	NA	NA	NA	NA	NA
2018_06_26_n4_elution-Adu-A_011	2018-06-26T00:00:00Z	2018_06_26_n4	Adu-AMat_Ex3	FedEx	800894546540	2018-06-27T00:00:00Z	elution	Adu-A_011	Adu-A_011_E1	Adu-A_011_E2	NA	NA	NA	NA	NA
2018_10_16_n5_elution-Ssp-C_001	2018-10-16T00:00:00Z	2018_10_16_n5	Ssp-CGub_Ex1	FedEx	800894546262	2018-10-17T00:00:00Z	elution	Ssp-C_001	Ssp-C_001_E1	Ssp-C_001_E2	Ssp-C_001_E3	Ssp-C_001_E4	NA	NA	NA
2018_10_16_n5_elution-Ssp_A_001	2018-10-16T00:00:00Z	2018_10_16_n5	Ssp-AAtu_Ex1	FedEx	800894546262	2018-10-17T00:00:00Z	elution	Ssp_A_001	Ssp-A_001_E1	Ssp-A_001_E2	NA	NA	NA	NA	NA
2018_10_16_n5_elution-Sde-A_001	2018-10-16T00:00:00Z	2018_10_16_n5	Sde-AMat_Ex1	FedEx	800894546262	2018-10-17T00:00:00Z	elution	Sde-A_001	Sde-A_001_E1	Sde-A_001_E2	NA	NA	NA	NA	NA
2019_02_18_n6_elution-Eps-C_001	2019-02-18T00:00:00Z	2019_02_18_n6	Eps-CBai_Ex1	FedEx	800894546573	2019-02-19T00:00:00Z	elution	Eps-C_001	Eps-C_001_E1	NA	NA	NA	NA	NA	This is a mix plate of Eps and E. punctifer (Neg-2017-021_001). check every individual before using
2019_03_08_n7_elution-Aur-C_001	2019-04-08T00:00:00Z	2019_03_08_n7	Aur-CRag_Ex1	FedEx	800894546584	2019-04-09T00:00:00Z	elution	Aur-C_001	Aur-C_001_E1	Aur-C_001_E2	Aur-C_001_E3	NA	NA	NA	NA
2019_04_11_n8_elution-Sde-C_001	2019-04-11T00:00:00Z	2019_04_11_n8	Sde-CMat_Ex1	FedEx	876934220511	2019-04-12T00:00:00Z	elution	Sde-C_001	Sde-C_001_E1	Sde-C_001_E2	Sde-C_001_E3	NA	NA	NA	NA
2019_04_11_n8_elution-Leq-C_001	2019-04-11T00:00:00Z	2019_04_11_n8	Leq-CMig_Ex1	FedEx	876934220511	2019-04-12T00:00:00Z	elution	Leq-C_001	Leq-C_001_E1	Leq-C_001_E2	Leq-C_001_E3	NA	NA	NA	NA
2019_05_20_n9_elution-Aen-C_001	2019-05-20T00:00:00Z	2019_05_20_n9	Aen-CBat_Ex1	FedEx	800894546610	2019-05-21T00:00:00Z	elution	Aen-C_001	Aen-C_001_E1	Aen-C_001_E2	Aen-C_001_E3	Aen-C_001_E4	NA	NA	NA
2019_05_20_n9_elution-Gmi-C_001	2019-05-20T00:00:00Z	2019_05_20_n9	Gmi-CBat_Ex1	FedEx	800894546610	2019-05-21T00:00:00Z	elution	Gmi-C_001	Gmi-C_001_E1	Gmi-C_001_E2	Gmi-C_001_E3	Gmi-C_001_E4	NA	NA	NA
2019_05_20_n9_elution-Lle-C_001	2019-05-20T00:00:00Z	2019_05_20_n9	Lle-CNas_Ex1	FedEx	800894546610	2019-05-21T00:00:00Z	elution	Lle-C_001	Lle-C_001_E1	Lle-C_001_E2	Lle-C_001_E3	Lle-C_001_E4	NA	NA	NA
2019_05_20_n9_elution-Hqu-C_001	2019-05-20T00:00:00Z	2019_05_20_n9	Hqu-CNas_Ex1	FedEx	800894546610	2019-05-21T00:00:00Z	elution	Hqu-C_001	Hqu-C_001_E1	Hqu-C_001_E2	Hqu-C_001_E3	Hqu-C_001_E4	NA	NA	NA
2019_05_20_n9_elution-Hte-C_001	2019-05-20T00:00:00Z	2019_05_20_n9	Hte-CTic_Ex1	FedEx	800894546610	2019-05-21T00:00:00Z	elution	Hte-C_001	Hte-C_001_E1	Hte-C_001_E2	Hte-C_001_E3	Hte-C_001_E4	NA	NA	NA
2019_05_20_n9_elution-Tzo-C_001	2019-05-20T00:00:00Z	2019_05_20_n9	Tzo-CMvi_Ex1	FedEx	800894546610	2019-05-21T00:00:00Z	elution	Tzo-C_001	Tzo-C_001_E1	Tzo-C_001_E2	Tzo-C_001_E3	Tzo-C_001_E4	NA	NA	NA
2019_05_20_n9_elution-Sgr-C_001	2019-05-20T00:00:00Z	2019_05_20_n9	Sgr-CMvi_Ex1	FedEx	800894546610	2019-05-21T00:00:00Z	elution	Sgr-C_001	Sgr-C_001_E1	Sgr-C_001_E2	Sgr-C_001_E3	Sgr-C_001_E4	NA	NA	NA
2019_05_20_n9_elution-Pli-C_001	2019-05-20T00:00:00Z	2019_05_20_n9	Pli-CMvi_Ex1	FedEx	800894546610	2019-05-21T00:00:00Z	elution	Pli-C_001	Pli-C_001_E1	Pli-C_001_E2	Pli-C_001_E3	Pli-C_001_E4	NA	NA	NA
2019_12_10_n10_elution-Tzo-A_001	2019-12-10T00:00:00Z	2019_12_10_n10	Tzo-AMvi_Ex1	FedEx	778786425635	2019-12-11T00:00:00Z	elution	Tzo-A_001	Tzo-A_001_E1	Tzo-A_001_E2	Tzo-A_001_E3	Tzo-A_001_E4	NA	NA	NA
2019_12_10_n10_elution-Aur-C_002	2019-12-10T00:00:00Z	2019_12_10_n10	Aur-CHam_Ex1	FedEx	778786425635	2019-12-11T00:00:00Z	elution	Aur-C_002	Aur-C_002_E1	Aur-C_002_E2	Aur-C_002_E3	Aur-C_002_E4	NA	NA	NA
2019_12_10_n10_elution-Aur-A_001	2019-12-10T00:00:00Z	2019_12_10_n10	Aur-APag_Ex1	FedEx	778786425635	2019-12-11T00:00:00Z	elution	Aur-A_001	Aur-A_001_E1	Aur-A_001_E2	Aur-A_001_E3	Aur-A_001_E4	NA	NA	NA
2019_12_10_n11_spin_columns-Sde-A_002	2019-12-10T00:00:00Z	2019_12_10_n11	Sde-AMar_Ex1	FedEx	800894546621	2019-12-11T00:00:00Z	spin_columns	Sde-A_002	Sde-A_002_E1	Sde-A_002_E2	Sde-A_002_E3	Sde-A_002_E4	NA	NA	NA
