unique_shipment_id	Date_Shipped_by_ODU	Shipment_ID	Species_EraSite_Individuals_Extraction/tissue	Carrier	Tracking_number	Date_Received_TAMUCC	Item_Type	Plate_Box_ID	Plate_ID_1	Plate_ID_2	Plate_ID_3	Plate_ID_4	shipment_num	filter_out_this_row	Notes
2019_12_10_n11_elution-Sde-C_002	2019-12-10T00:00:00Z	2019_12_10_n11	Sde-CHam_Ex1	FedEx	800894546621	2019-12-11T00:00:00Z	elution	Sde-C_002	Sde-C_002_E1	Sde-C_002_E2	Sde-C_002_E3	Sde-C_002_E4	NA	NA	NA
2019_12_10_n11_elution-Sfa-C_001	2019-12-10T00:00:00Z	2019_12_10_n11	Sfa-CBas_Ex1	FedEx	800894546621	2019-12-11T00:00:00Z	elution	Sfa-C_001	Sfa-C_001_E1	Sfa-C_001_E2	Sfa-C_001_E3	Sfa-C_001_E4	NA	NA	NA
2019_12_10_n11_elution-Adu-Misc_001	2019-12-10T00:00:00Z	2019_12_10_n11	Adu-Misc_Ex1	FedEx	800894546621	2019-12-11T00:00:00Z	elution	Adu-Misc_001	Adu-Misc_001_E1	NA	NA	NA	NA	NA	Left_over_elutions_from_original_extractions_of_Adu_individuals;_multiple_different_lots
2019_12_10_n12_spin_columns-Tzo-A_001	2019-12-10T00:00:00Z	2019_12_10_n12	Tzo-AMvi_Ex1	FedEx	778786425624	2019-12-11T00:00:00Z	spin_columns	Tzo-A_001	NA	NA	NA	NA	NA	NA	spin_columns_only_-_4_elutions_
2019_12_10_n12_spin_columns-Aur-A_001	2019-12-10T00:00:00Z	2019_12_10_n12	Aur-APag_Ex1	FedEx	778786425624	2019-12-11T00:00:00Z	spin_columns	Aur-A_001	NA	NA	NA	NA	NA	NA	spin_columns_only_-_4_elutions_
2019_12_10_n12_plate-Sde-C_002	2019-12-10T00:00:00Z	2019_12_10_n12	Sde-CHam_Ex1	FedEx	778786425624	2019-12-11T00:00:00Z	plate	Sde-C_002	NA	NA	NA	NA	NA	NA	spin_columns_only_-_4_elutions_
2019_12_10_n12_plate-Sfa-C_001	2019-12-10T00:00:00Z	2019_12_10_n12	Sfa-CBas_Ex1	FedEx	778786425624	2019-12-11T00:00:00Z	plate	Sfa-C_001	NA	NA	NA	NA	NA	NA	spin_columns_only_-_4_elutions_
2020_02_04_n13_plate-Adu-C_004	2020-02-04T00:00:00Z	2020_02_04_n13	Adu-CGal_Ex2	FedEx	800894546654	2020-02-05T00:00:00Z	plate	Adu-C_004	NA	NA	NA	NA	NA	NA	spin_columns_only_
2020_02_04_n13_elution-Hqu-C_002	2020-02-04T00:00:00Z	2020_02_04_n13	Hqu-CMvi_Ex1	FedEx	800894546654	2020-02-05T00:00:00Z	elution	Hqu-C_002	Hqu-C_002_E1	Hqu-C_002_E2	Hqu-C_002_E3	Hqu-C_002_E4	NA	NA	NA
2020_02_04_n13_elution-Abu-A_001	2020-02-04T00:00:00Z	2020_02_04_n13	Abu-ARag_Ex1	FedEx	800894546654	2020-02-05T00:00:00Z	elution	Abu-A_001	Abu-A_001_E1	Abu-A_001_E2	Abu-A_001_E3	Abu-A_001_E4	1	NA	NA
2020_02_04_n13_elution-Sfa-A_001	2020-02-04T00:00:00Z	2020_02_04_n13	Sfa-ABas_Ex1	FedEx	800894546654	2020-02-05T00:00:00Z	elution	Sfa-A_001	Sfa-A_001_E1	Sfa-A_001_E2	Sfa-A_001_E3	Sfa-A_001_E4	NA	NA	NA
2020_02_04_n13_elution-Lle-A_001	2020-02-04T00:00:00Z	2020_02_04_n13	Lle-AHam_Ex1	FedEx	800894546654	2020-02-05T00:00:00Z	elution	Lle-A_001	Lle-A_001_E1	Lle-A_001_E2	Lle-A_001_E3	Lle-A_001_E4	NA	NA	NA
2020_02_04_n13_elution-Ssp-A_001	2020-02-04T00:00:00Z	2020_02_04_n13	Ssp_AAtu_Ex1	FedEx	800894546654	2020-02-05T00:00:00Z	elution	Ssp-A_001	Ssp-A_001_E1	Ssp-A_001_E2	NA	NA	NA	NA	Both_elutions_were_placed_in_the_same_plate_(48_dwells_each)
2020_02_04_n13_elution-Gmi-C_002	2020-02-04T00:00:00Z	2020_02_04_n13	Gmi-CBas_Ex1	FedEx	800894546654	2020-02-05T00:00:00Z	elution	Gmi-C_002	Gmi-C_002_E1	Gmi-C_002_E2	Gmi-C_002_E3	Gmi-C_002_E4	NA	NA	NA
2020_02_04_n13_elution-Hte-C_002	2020-02-04T00:00:00Z	2020_02_04_n13	Hte-CMvi_Ex1	FedEx	800894546654	2020-02-05T00:00:00Z	elution	Hte-C_002	Hte-C_002_E1	Hte-C_002_E2	Hte-C_002_E3	Hte-C_002_E4	NA	NA	NA
2020_02_04_n13_plate-Sde-C_001	2020-02-04T00:00:00Z	2020_02_04_n13	Sde-CMat_Ex1	FedEx	800894546654	2020-02-05T00:00:00Z	plate	Sde-C_001	NA	NA	NA	NA	NA	NA	spin_columns_only
2020_02_06_n14_spin_columns-Ssp-A_001	2020-02-06T00:00:00Z	2020_02_06_n14	Ssp-AAtu_Ex1	FedEx	800894546665	2020-02-07T00:00:00Z	spin_columns	Ssp-A_001	NA	NA	NA	NA	NA	NA	spin_columns_only
2020_04_08_n15_spin_columns-Sde-C_003	2020-04-08T00:00:00Z	2020_04_08_n15	Sde-CSub_Ex1	FedEx	800894546676	2020-04-09T00:00:00Z	spin_columns	Sde-C_003	Sde-C_003_E1	NA	NA	NA	NA	NA	spin_columns_included
2020_04_08_n15_spin_columns-Hmi-C_001	2020-04-08T00:00:00Z	2020_04_08_n15	Hmi-CBas_Ex1	FedEx	800894546676	2020-04-09T00:00:00Z	spin_columns	Hmi-C_001	Hmi-C_001_E1	Hmi-C_001_E2	Hmi-C_001_E3	Hmi-C_001_E4	NA	NA	Hmi-CPar_included_on_plate_as_well._Combined_into_one_site._Spin_columns_included
2020_04_08_n15_spin_columns-Goy-C_001	2020-04-08T00:00:00Z	2020_04_08_n15	Goy-CPas_Ex1	FedEx	800894546676	2020-04-09T00:00:00Z	spin_columns	Goy-C_001	Goy-C_001_E1	Goy-C_001_E2	Goy-C_001_E3	Goy-C_001_E4	NA	NA	spin_columns_included
2020_04_08_n15_spin_columns-Hqu-A_001	2020-04-08T00:00:00Z	2020_04_08_n15	Hqu-ANas_Ex1	FedEx	800894546676	2020-04-09T00:00:00Z	spin_columns	Hqu-A_001	Hqu-A_001_E1	Hqu-A_001_E2	Hqu-A_001_E3	Hqu-A_001_E4	NA	NA	spin_columns_included
2020_04_08_n15_spin_columns-Gmi-A_002	2020-04-08T00:00:00Z	2020_04_08_n15	Gmi-ABas_Ex1	FedEx	800894546676	2020-04-09T00:00:00Z	spin_columns	Gmi-A_002	Gmi-A_002_E1	Gmi-A_002_E2	Gmi-A_002_E3	Gmi-A_002_E4	NA	NA	spin_columns_included._Some_individuals_formed_waxy_precipitate_during_extraction
2020_04_08_n15_spin_columns-Abu-C_001	2020-04-08T00:00:00Z	2020_04_08_n15	Abu-CPas_Ex1	FedEx	800894546676	2020-04-09T00:00:00Z	spin_columns	Abu-C_001	Abu-C_001_E1	Abu-C_001_E2	NA	NA	NA	NA	spin_columns_included
2020_05_13_n16_elution-Sde-A_002	2020-05-13T00:00:00Z	2020_05_13_n16	Sde-AMar_Ex1	FedEx	800894546687	2020-05-14T00:00:00Z	elution	Sde-A_002	Sde-A_002_E1	Sde-A_002_E2	Sde-A_002_E3	Sde-A_002_E4	NA	NA	needed_more_DNA,_so_ODU_portions_of_elutions_sent_to_attempt_to_increase_yields
2020_05_13_n16_tissue-Sde-A_004	2020-05-13T00:00:00Z	2020_05_13_n16	Sde-AMar_Ex2	FedEx	800894546687	2020-05-14T00:00:00Z	tissue	Sde-A_004	NA	NA	NA	NA	NA	NA	Tissues_sent_only_for_extraction_at_TAMUCC
2020_05_13_n16_tissue-Sde-A_003	2020-05-13T00:00:00Z	2020_05_13_n16	Sde-ASub_Ex1	FedEx	800894546687	2020-05-14T00:00:00Z	tissue	Sde-A_003	NA	NA	NA	NA	NA	NA	Tissues_sent_only_for_extraction_at_TAMUCC
2020_06_02_n17_elution-Ssp-A_001	2020-06-02T00:00:00Z	2020_06_02_n17	Ssp-AAtu_Ex1	FedEx	800894546698	2020-06-03T00:00:00Z	elution	Ssp-A_001	Ssp-A_001_E1	Ssp-A_001_E2	Ssp-A_001_E3	NA	NA	NA	E1-E3_#’s_013-015,_017-019_and_021
2020_06_02_n17_elution-Adu-C_002	2020-06-02T00:00:00Z	2020_06_02_n17	Adu-CGal_Ex1	FedEx	800894546698	2020-06-03T00:00:00Z	elution	Adu-C_002	Adu-C_002_E1	Adu-C_002_E2	Adu-C_002_E3	NA	NA	NA	E1-E3_#’s_004-005
2020_06_02_n17_elution-Ssp-A_001	2020-06-02T00:00:00Z	2020_06_02_n17	Ssp-AAtu_Ex1	FedEx	800894546698	2020-06-03T00:00:00Z	elution	Ssp-A_001	Ssp-A_001_E1	Ssp-A_001_E2	Ssp-A_001_E3	NA	NA	NA	#'s_005-052
2020_06_02_n17_tissue-NA	2020-06-02T00:00:00Z	2020_06_02_n17	Aur-CPas_001-023_tissue	FedEx	800894546698	2020-06-03T00:00:00Z	tissue	NA	NA	NA	NA	NA	NA	NA	Tissues_sent_only_for_extraction_at_TAMUCC_001-023
2020_06_02_n17_tissue-NA	2020-06-02T00:00:00Z	2020_06_02_n17	Aur-AVic_001_024_tissue	FedEx	800894546698	2020-06-03T00:00:00Z	tissue	NA	NA	NA	NA	NA	NA	NA	Tissues_sent_only_for_extraction_at_TAMUCC
2020_06_02_n17_elution-Gmi-C_002	2020-06-02T00:00:00Z	2020_06_02_n17	Gmi-CBas_001-096	FedEx	800894546698	2020-06-03T00:00:00Z	elution	Gmi-C_002	Gmi-C_002_E1	Gmi-C_002_E2	Gmi-C_002_E3	Gmi-C_002_E4	NA	NA	NA
2020_06_02_n17_elution-Adu-C_001	2020-06-02T00:00:00Z	2020_06_02_n17	Adu-CMat_001-096	FedEx	800894546698	2020-06-03T00:00:00Z	elution	Adu-C_001	Adu-C_001_E1	Adu-C_001_E2	Adu-C_001_E3	NA	NA	NA	NA
2020_06_02_n17_elution-Leq-C_001	2020-06-02T00:00:00Z	2020_06_02_n17	Leq-CMig_001-096	FedEx	800894546698	2020-06-03T00:00:00Z	elution	Leq-C_001	Leq-C_001_E1	Leq-C_001_E2	Leq-C_001_E3	NA	NA	NA	NA
2020_06_02_n17_spin_columns-Lle-A-001	2020-06-02T00:00:00Z	2020_06_02_n17	Lle-AHam_001-032	FedEx	800894546698	2020-06-03T00:00:00Z	spin_columns	Lle-A-001	Lle-A-001_E1	Lle-A-001_E2	Lle-A-001_E3	Lle-A-001_E4	NA	NA	NA
2020_06_02_n17_spin_columns-Adu-C_002	2020-06-02T00:00:00Z	2020_06_02_n17	Adu-CGal_Ex1	FedEx	800894546698	2020-06-03T00:00:00Z	spin_columns	Adu-C_002	Adu-C_002_E1	Adu-C_002_E2	Adu-C_002_E3	NA	NA	NA	NA
2020_06_02_n17_spin_columns-Adu-C_001	2020-06-02T00:00:00Z	2020_06_02_n17	Adu-CMat_Ex1	FedEx	800894546698	2020-06-03T00:00:00Z	spin_columns	Adu-C_001	Adu-C_001_E1	Adu-C_001_E2	Adu-C_001_E3	NA	NA	NA	NA
2020_06_02_n17_spin_columns-Ssp-C_001	2020-06-02T00:00:00Z	2020_06_02_n17	Ssp-CGub_Ex1	FedEx	800894546698	2020-06-03T00:00:00Z	spin_columns	Ssp-C_001	Ssp-C_001_E1	Ssp-C_001_E2	Ssp-C_001_E3	Ssp-C_001_E4	NA	NA	NA
2020_06_11_n18_elution-Aur-A_002	2020-06-11T00:00:00Z	2020_06_11_n18	Aur-AVic_Ex1	FedEx	800894546698	2020-06-03T00:00:00Z	elution	Aur-A_002	Aur-A_002_EA	NA	NA	NA	NA	NA	All 4 elutions on single plate
2020_06_11_n18_elution-Aur-C_003	2020-06-11T00:00:00Z	2020_06_11_n18	Aur-CPas_Ex1	FedEx	800894546698	2020-06-03T00:00:00Z	elution	Aur-C_003	Aur-C_003_EA	NA	NA	NA	NA	NA	All 4 elutions on single plate
2020_06_11_n18_elution-Adu-A_012	2020-06-11T00:00:00Z	2020_06_11_n18	Adu-AHam_Ex1	FedEx	800894546698	2020-06-03T00:00:00Z	elution	Adu-A_012	Adu-A_012_E1	NA	NA	NA	NA	NA	NA
2020_06_11_n18_elution-Adu-C_005	2020-06-11T00:00:00Z	2020_06_11_n18	Adu-CHam_Ex1	FedEx	800894546698	2020-06-03T00:00:00Z	elution	Adu-C_005	Adu-C_005_E1	NA	NA	NA	NA	NA	NA
2020_06_11_n18_plate-Adu-C_001	2020-06-11T00:00:00Z	2020_06_11_n18	Adu-CMat_001-096_Ex1	FedEx	800894546698	2020-06-03T00:00:00Z	plate	Adu-C_001	NA	NA	NA	NA	NA	TRUE	NA
2020_06_11_n18_plate-	2020-06-11T00:00:00Z	2020_06_11_n18	Sfu-ABas_001-096	FedEx	800894546698	2020-06-03T00:00:00Z	plate	NA	NA	NA	NA	NA	NA	NA	NA
2020_06_11_n18_spin_columns-	2020-06-11T00:00:00Z	2020_06_11_n18	Adu-CHam_001-096, Adu_C_005	FedEx	800894546698	2020-06-03T00:00:00Z	spin_columns	NA	NA	NA	NA	NA	NA	NA	NA
2020_06_11_n18_spin_columns-Adu-A_010	2020-06-11T00:00:00Z	2020_06_11_n18	Adu-ALin_001-024	FedEx	800894546698	2020-06-03T00:00:00Z	spin_columns	Adu-A_010	NA	NA	NA	NA	NA	NA	NA
2020_06_11_n18_spin_columns-Adu-A_006	2020-06-11T00:00:00Z	2020_06_11_n18	Adu-ATaw_005-028	FedEx	800894546698	2020-06-03T00:00:00Z	spin_columns	Adu-A_006	NA	NA	NA	NA	NA	NA	NA
2020_06_11_n18_spin_columns-Abu-A_001	2020-06-11T00:00:00Z	2020_06_11_n18	Abu-ARag_001-037	FedEx	800894546698	2020-06-03T00:00:00Z	spin_columns	Abu-A_001	NA	NA	NA	NA	NA	NA	NA
2020_06_11_n18_spin_columns-NA	2020-06-11T00:00:00Z	2020_06_11_n18	Ssp-AAtu_013-015, 017-019, 021_Ex2	FedEx	800894546698	2020-06-03T00:00:00Z	spin_columns	NA	NA	NA	NA	NA	NA	NA	NA
2020_06_11_n18_spin_columns-NA	2020-06-11T00:00:00Z	2020_06_11_n18	Adu-CGal_004-005	FedEx	800894546698	2020-06-03T00:00:00Z	spin_columns	NA	NA	NA	NA	NA	NA	NA	NA
2020_06_11_n18_spin_columns-Sfa-A_001	2020-06-11T00:00:00Z	2020_06_11_n18	Sfa-ABas_001-036	FedEx	800894546698	2020-06-03T00:00:00Z	spin_columns	Sfa-A_001	NA	NA	NA	NA	NA	NA	NA
2020_06_11_n18_spin_columns-Hte-C_002	2020-06-11T00:00:00Z	2020_06_11_n18	Hte-CMvi_001-096	FedEx	800894546698	2020-06-03T00:00:00Z	spin_columns	Hte-C_002	NA	NA	NA	NA	NA	NA	NA
2020_06_11_n18_spin_columns-Adu-A_004	2020-06-11T00:00:00Z	2020_06_11_n18	Adu-AMat_005-067	FedEx	800894546698	2020-06-03T00:00:00Z	spin_columns	Adu-A_004	Adu-A_011	Adu-A_002	NA	NA	NA	NA	NA
2020_06_11_n18_spin_columns-	2020-06-11T00:00:00Z	2020_06_11_n18	Hqu-CMvi_001-096	FedEx	800894546698	2020-06-03T00:00:00Z	spin_columns	NA	NA	NA	NA	NA	NA	NA	NA
2020_06_11_n18_spin_columns-	2020-06-11T00:00:00Z	2020_06_11_n18	Sde-AMat_001-048	FedEx	800894546698	2020-06-03T00:00:00Z	spin_columns	NA	NA	NA	NA	NA	NA	NA	NA
2020_06_11_n18_spin_columns-	2020-06-11T00:00:00Z	2020_06_11_n18	Adu-AMvi_001-024	FedEx	800894546698	2020-06-03T00:00:00Z	spin_columns	NA	NA	NA	NA	NA	NA	NA	NA
2020_06_11_n18_spin_columns-	2020-06-11T00:00:00Z	2020_06_11_n18	Adu-ABat_001-024	FedEx	800894546698	2020-06-03T00:00:00Z	spin_columns	NA	NA	NA	NA	NA	NA	NA	NA
2020_06_24_n19_elution-Tbi-A_001	2020-06-24T00:00:00Z	2020_06_24_n19	Tbi-ARos_001-033_Ex1	FedEx	800894546713	2020-06-25T00:00:00Z	elution	Tbi-A_001	Tbi-A_001_12	NA	NA	NA	NA	NA	Tbi-A_001_E1-2
2020_06_24_n19_elution-Tbi-A_001	2020-06-24T00:00:00Z	2020_06_24_n19	Tbi-ARos_001-033_Ex1	FedEx	800894546713	2020-06-25T00:00:00Z	elution	Tbi-A_001	Tbi-A_001_34	NA	NA	NA	NA	NA	Tbi-A_001_E3-4
2020_06_24_n19_spin_columns-Tbi-A_001	2020-06-24T00:00:00Z	2020_06_24_n19	Tbi-ARos_001-033_Ex1	FedEx	800894546713	2020-06-25T00:00:00Z	spin_columns	Tbi-A_001	NA	NA	NA	NA	NA	NA	NA
2020_06_24_n19_elution-Tbi-C_001	2020-06-24T00:00:00Z	2020_06_24_n19	Tbi-CJos_001-024_Ex1	FedEx	800894546713	2020-06-25T00:00:00Z	elution	Tbi-C_001	Tbi-C_001_EM	NA	NA	NA	NA	NA	Tbi-C_001_E2-4
2020_08_19_n20_spin_columns-	2020-08-19T00:00:00Z	2020_08_19_n20	Adu-CSbu_001-096	FedEx	800894546724	2020-08-20T00:00:00Z	spin_columns	NA	NA	NA	NA	NA	NA	NA	NA
2020_08_19_n20_spin_columns-	2020-08-19T00:00:00Z	2020_08_19_n20	Tbi-CJos_001-096	FedEx	800894546724	2020-08-20T00:00:00Z	spin_columns	NA	NA	NA	NA	NA	NA	NA	NA
2020_08_19_n20_spin_columns-	2020-08-19T00:00:00Z	2020_08_19_n20	Sob-ABil_001-004(*10)	FedEx	800894546724	2020-08-20T00:00:00Z	spin_columns	NA	NA	NA	NA	NA	NA	NA	NA
