Collection_site	Site_ID...2	Match_ID...3	...4	Unique	Site_ID...6	Match_ID...7
Atulayan_Bay	Atu	AtuB	NA	NA	Atu	AtuB
Nato	Atu	None	NA	NA	Bai	None
Bais_Bay	Bai	Bais	NA	NA	Bal?	Bais
Balicuatro_Island	Bal?	to_collect	NA	NA	Ban	to_collect
Batan_Island	Ban	to_collect	NA	NA	Bas	Basu
Basud_River	Bas	Basu	NA	NA	Bat	Daet
Basud_River	Bas	Daet	NA	NA	Bil	SMig
Basud_River	Bas	SMig	NA	NA	Bir?	HamC
Mercedes_Fishing_Port	Bas	Basu	NA	NA	Bit	Pgal
Batangas_Market	Bat	to_collect	NA	NA	Bol	NA
Hamilo_Cove	Bat	HamC	NA	NA	Bul	MatB
Puerto_Galera	Bat	Pgal	NA	NA	Bur?	Busu
Bilan_Bilan	Bil	to_collect	NA	NA	Bus	to_determine
NA	NA	NA	NA	NA	Cag	Nasu
Balicuatro_Island	Bir?	to_collect	NA	NA	Cal	Pmar
Batag_Island	Bir?	to_collect	NA	NA	Can?	SanR
Bito_River	Bit	to_collect	NA	NA	Cat	Rosa
Bolalo_Bay	Bol	to_collect	NA	NA	Ceb	Lina
Bulan_Island	Bul	MatB	NA	NA	Cot	Masi
Alimango_Bay	Bur?	to_collect	NA	NA	Dum	RagR
Burias_Island	Bur?	to_collect	NA	NA	End	Ppri
Busin_Harbor	Bur?	to_collect	NA	NA	Gal	CanB??
Busuanga_Island	Bus	Busu	NA	NA	Gal? or Pga?	SubB
Port_Caltom	Bus	Busu	NA	NA	Gub	Jolo
Cagayan	Cag	to_collect	NA	NA	Dup	NA
Cagayan	Cag	to_collect	NA	NA	Guj	NA
Calatagan	Cal	None	NA	NA	Ham	NA
Canmahala_Bay	Can?	to_collect	NA	NA	Hin	NA
Catbalogan_Bay	Cat	to_collect	NA	NA	Ina	NA
Cebu_Market	Ceb	to_collect	NA	NA	Jol	NA
Cebu_Market	Ceb	to_determine	NA	NA	Jos	NA
Cotabato	Cot	to_collect	NA	NA	Kal	NA
Cotabato	Cot	to_collect	NA	NA	Lin	NA
Dumaguete	Dum	None	NA	NA	Mac	NA
Silliman_Beach	Dum	None	NA	NA	Mah	NA
Silliman_Beach	Dum	None	NA	NA	Mal	NA
Silliman_Beach	Dum	None	NA	NA	Man	NA
Endeavor_Strait	End	to_determine	NA	NA	Mar	NA
